MBB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"5,097","5,519","5,617","6,174","6,364"
2. Chi phí lãi và các chi phí tương tự,"2,262","2,274","2,324","2,670","2,731"
I. Thu nhập lãi thuần,"2,835","3,245","3,293","3,504","3,633"
3. Thu nhập từ hoạt động dịch vụ,936,716,899,"1,138","1,298"
4. Chi phí hoạt động dịch vụ,562,621,584,461,588
II. Lãi/lỗ thuần từ hoạt động dịch vụ,375,95,315,676,710
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,82,66,76,99,127
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,43,-21,276,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,,35,-30
5. Thu nhập từ hoạt động khác,272,466,264,459,603
6. Chi phí hoạt động khác,,,,,247
VI. Lãi/lỗ thuần từ hoạt động khác,272,466,264,459,356
"VII. Thu nhập từ góp vốn, mua cổ phần",24,5,9,31,3
VIII. Chi phí hoạt động,"1,540","1,925","1,623","1,927","1,968"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,092","1,930","2,611","2,878","2,831"
X. Chi phí dự phòng rủi ro tín dụng,614,"1,316",692,967,646
XI. Tổng lợi nhuận trước thuế (IX-X),"1,478",614,"1,918","1,911","2,185"
7. Chi phí thuế TNDN hiện hành,283,315,381,422,421
8. Chi phí thuế TNDN hoãn lại,,,-12,-2,4
XII. Chi phí thuế TNDN,283,315,370,420,424
XIII. Lợi nhuận sau thuế (XI-XII),"1,195",298,"1,549","1,491","1,761"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,195",298,"1,549","1,491","1,761"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
