MBB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,047","1,139","1,157","1,236","1,303"
II. Tiền gửi tại NHNN,"7,510","3,064","1,530","8,182","7,179"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","12,957","19,158","30,179","28,659","31,444"
"1. Tiền, vàng gửi tại các TCTD khác","12,957","19,158","30,179","17,785","31,444"
2. Cho vay các TCTD khác,0,0,0,"11,143",0
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,0,-269,0
IV. Chứng khoán kinh doanh,"12,844","10,799","10,631","3,469",812
1. Chứng khoán kinh doanh,"12,927","10,902","10,732","3,614",817
2. Dự phòng giảm giá chứng khoán kinh doanh,-83,-103,-101,-145,-5
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,5,113,96,28
VI. Cho vay khách hàng,"97,826","109,039","111,932","119,372","122,226"
1. Cho vay và cho thuê tài chính khách hàng,"100,020","110,848","113,701","121,349","124,363"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,194","-1,809","-1,769","-1,976","-2,136"
VII. Hoạt động mua nợ,0,0,0,0,0
1. Mua nợ,0,0,0,0,0
2. Dự phòng rủi ro hoạt động mua nợ,0,0,0,0,0
VII. Chứng khoán đầu tư,"52,974","50,107","40,738","46,760","52,710"
1. Chứng khoán đầu tư sẵn sàng để bán,"46,668","42,760","33,300","39,513","43,386"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"6,857","7,913","8,154","8,070","10,711"
3. Dự phòng giảm giá chứng khoán đầu tư,-551,-566,-716,-823,"-1,387"
"VIII. Góp vốn, đầu tư dài hạn","1,505","1,490","1,565","1,606","1,417"
1. Đầu tư vào công ty con,0,0,0,0,0
