MBB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,675","3,741","4,329","3,782","3,349"
II. Tiền gửi tại NHNN,"66,322","11,916","18,087","10,684","29,825"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","46,344","77,809","90,064","77,398","76,786"
"1. Tiền, vàng gửi tại các TCTD khác","46,344","77,809","90,064","77,398","76,786"
2. Cho vay các TCTD khác,0,0,,,
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,,,
IV. Chứng khoán kinh doanh,"44,251","30,565","12,308","14,324","7,932"
1. Chứng khoán kinh doanh,"44,251","30,566","12,308","14,324","7,932"
2. Dự phòng giảm giá chứng khoán kinh doanh,-1,-1,0,0,0
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,141,0,112,,
VI. Cho vay khách hàng,"599,579","603,072","662,585","691,233","765,048"
1. Cho vay và cho thuê tài chính khách hàng,"611,049","615,317","673,799","702,020","776,658"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-11,470","-12,244","-11,215","-10,787","-11,610"
VII. Hoạt động mua nợ,"1,790","1,582","1,416","1,168",952
1. Mua nợ,"1,849","1,626","1,451","1,203","1,041"
2. Dự phòng rủi ro hoạt động mua nợ,-59,-44,-35,-35,-90
VII. Chứng khoán đầu tư,"147,923","139,447","167,176","197,206","209,637"
1. Chứng khoán đầu tư sẵn sàng để bán,"143,011","134,470","162,593","192,579","205,508"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"5,388","5,493","5,174","5,422","4,613"
3. Dự phòng giảm giá chứng khoán đầu tư,-475,-516,-591,-795,-483
"VIII. Góp vốn, đầu tư dài hạn",616,592,583,578,609
1. Đầu tư vào công ty con,0,0,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,,,
3. Đầu tư dài hạn khác,780,756,747,742,776
4. Dự phòng giảm giá đầu tư dài hạn,-164,-164,-164,-164,-166
IX. Tài sản cố định,"4,854","5,044","4,916","4,876","5,430"
