MBB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,030","2,947","3,475","3,158","3,206"
II. Tiền gửi tại NHNN,"14,439","13,754","38,051","16,518","14,222"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","32,592","50,453","35,983","48,938","57,116"
"1. Tiền, vàng gửi tại các TCTD khác","32,592","50,453","35,983","48,938","57,116"
2. Cho vay các TCTD khác,,,,,
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"4,212","3,550","7,575","5,658","7,988"
1. Chứng khoán kinh doanh,"4,229","3,564","7,583","5,677","7,999"
2. Dự phòng giảm giá chứng khoán kinh doanh,-17,-14,-7,-19,-12
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,88,220,274,282,154
VI. Cho vay khách hàng,"325,160","329,008","354,797","405,222","404,439"
1. Cho vay và cho thuê tài chính khách hàng,"331,147","336,426","363,555","415,549","415,457"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-5,987","-7,418","-8,758","-10,328","-11,018"
VII. Hoạt động mua nợ,22,3,2,,
1. Mua nợ,25,4,4,4,4
2. Dự phòng rủi ro hoạt động mua nợ,-4,-1,-2,-4,-4
VII. Chứng khoán đầu tư,"110,019","119,837","128,806","136,044","132,055"
1. Chứng khoán đầu tư sẵn sàng để bán,"107,198","116,578","124,552","130,718","127,025"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"3,254","3,719","4,677","5,787","5,490"
3. Dự phòng giảm giá chứng khoán đầu tư,-432,-460,-423,-461,-460
"VIII. Góp vốn, đầu tư dài hạn",879,854,803,784,552
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,"1,018","1,016",941,900,668
4. Dự phòng giảm giá đầu tư dài hạn,-139,-162,-138,-116,-116
IX. Tài sản cố định,"4,383","4,352","4,678","4,563","4,519"
1. Tài sản cố định hữu hình,"3,087","3,025","3,214","3,122","3,101"
a. Nguyên giá TSCĐ,"5,698","5,779","6,084","6,172","6,333"
b. Hao mòn TSCĐ,"-2,611","-2,754","-2,870","-3,050","-3,233"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"1,296","1,326","1,465","1,441","1,419"
a. Nguyên giá TSCĐ,"2,530","2,660","2,924","3,002","3,104"
b. Hao mòn TSCĐ,"-1,234","-1,334","-1,459","-1,560","-1,685"
X. Bất động sản đầu tư,245,243,269,267,239
a. Nguyên giá BĐSĐT,250,250,285,285,250
b. Hao mòn BĐSĐT,-5,-6,-16,-18,-11
"XI. Tài sản ""Có"" khác","28,266","30,373","32,426","27,605","33,784"
1. Các khoản phải thu,"20,994","22,568","23,923","18,008","23,042"
"2. Các khoản lãi, phí phải thu","4,554","4,751","4,599","4,946","5,391"
3. Tài sản thuế TNDN hoãn lại,15,2,1,8,17
4. Tài sản Có khác,"2,750","3,095","3,962","4,719","5,533"
- Trong đó: Lợi thế thương mại,38,38,38,38,29
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-48,-42,-60,-76,-198
TỔNG CỘNG TÀI SẢN,"523,334","555,595","607,140","649,040","658,274"
