MBB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"9,635","9,589","10,228","11,664","12,480"
2. Chi phí lãi và các chi phí tương tự,"3,073","3,074","3,058","3,278","3,511"
I. Thu nhập lãi thuần,"6,563","6,515","7,170","8,385","8,969"
3. Thu nhập từ hoạt động dịch vụ,"3,282","2,638","3,819","3,706","3,622"
4. Chi phí hoạt động dịch vụ,"2,252","1,712","2,474","2,589","2,612"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,030",926,"1,345","1,117","1,010"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,322,356,417,467,472
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,329,408,239,100,35
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,,"1,024",49
5. Thu nhập từ hoạt động khác,,486,908,538,567
6. Chi phí hoạt động khác,,,,,
VI. Lãi/lỗ thuần từ hoạt động khác,643,486,908,538,567
"VII. Thu nhập từ góp vốn, mua cổ phần",39,8,38,1,120
VIII. Chi phí hoạt động,"3,087","3,024","3,463","3,598","3,861"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"5,838","5,676","6,654","8,035","7,361"
X. Chi phí dự phòng rủi ro tín dụng,"2,431","1,778","2,011","2,126","1,375"
XI. Tổng lợi nhuận trước thuế (IX-X),"3,406","3,898","4,643","5,910","5,987"
7. Chi phí thuế TNDN hiện hành,690,763,939,"1,189","1,202"
8. Chi phí thuế TNDN hoãn lại,-14,13,1,-6,-9
XII. Chi phí thuế TNDN,676,776,940,"1,183","1,193"
XIII. Lợi nhuận sau thuế (XI-XII),"2,730","3,122","3,702","4,726","4,794"
XIV. Lợi ích của cổ đông thiểu số,134,100,176,180,171
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,596","3,022","3,526","4,546","4,623"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
