MBB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,253","2,509","2,546","3,109","2,771"
II. Tiền gửi tại NHNN,"6,763","9,173","8,210","17,297","8,771"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","47,793","39,202","30,609","47,889","42,551"
"1. Tiền, vàng gửi tại các TCTD khác","39,044","31,975","21,329","47,889","42,551"
2. Cho vay các TCTD khác,"8,749","7,228","9,281",0,
3. Dự phòng rủi ro cho vay các TCTD khác,,,,0,
IV. Chứng khoán kinh doanh,"1,246","1,519","1,302","3,085","3,633"
1. Chứng khoán kinh doanh,"1,319","1,549","1,327","3,102","3,652"
2. Dự phòng giảm giá chứng khoán kinh doanh,-73,-31,-24,-17,-19
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,128,,,37,
VI. Cho vay khách hàng,"244,072","257,055","263,845","293,943","318,678"
1. Cho vay và cho thuê tài chính khách hàng,"247,980","261,385","268,642","298,297","324,007"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-3,908","-4,330","-4,797","-4,354","-5,329"
VII. Hoạt động mua nợ,,,,0,"1,728"
1. Mua nợ,,,,0,"1,746"
2. Dự phòng rủi ro hoạt động mua nợ,,,,0,-17
VII. Chứng khoán đầu tư,"81,663","87,887","93,709","99,714","98,681"
1. Chứng khoán đầu tư sẵn sàng để bán,"79,264","85,987","91,351","96,775","95,579"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"2,677","2,197","2,699","3,374","3,552"
3. Dự phòng giảm giá chứng khoán đầu tư,-279,-297,-341,-436,-449
"VIII. Góp vốn, đầu tư dài hạn",877,867,885,885,882
1. Đầu tư vào công ty con,,,,0,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,0,
