MBB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,586","1,422","1,520","1,731","1,938"
II. Tiền gửi tại NHNN,"4,133","6,588","10,002","7,061","3,545"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","28,565","24,932","26,953","21,419","27,860"
"1. Tiền, vàng gửi tại các TCTD khác","28,565","24,932","26,953","21,419","27,860"
2. Cho vay các TCTD khác,0,0,0,0,0
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,0,0,0
IV. Chứng khoán kinh doanh,430,422,926,686,744
1. Chứng khoán kinh doanh,552,541,"1,061",830,820
2. Dự phòng giảm giá chứng khoán kinh doanh,-122,-118,-135,-144,-76
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,39,0,53,18,33
VI. Cho vay khách hàng,"139,478","143,304","148,687","149,350","170,397"
1. Cho vay và cho thuê tài chính khách hàng,"141,530","145,585","150,738","151,381","172,678"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,052","-2,281","-2,050","-2,031","-2,281"
VII. Hoạt động mua nợ,0,0,0,0,0
1. Mua nợ,0,0,0,0,0
2. Dự phòng rủi ro hoạt động mua nợ,0,0,0,0,0
VII. Chứng khoán đầu tư,"52,346","50,011","53,286","55,037","55,281"
1. Chứng khoán đầu tư sẵn sàng để bán,"43,055","41,881","46,226","47,346","46,287"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"10,740","9,676","8,681","9,542","10,262"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,448","-1,546","-1,621","-1,851","-1,268"
"VIII. Góp vốn, đầu tư dài hạn","1,271","1,578",842,929,"1,074"
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",374,374,109,109,50
3. Đầu tư dài hạn khác,"1,026","1,329",867,959,"1,152"
4. Dự phòng giảm giá đầu tư dài hạn,-128,-125,-133,-139,-127
IX. Tài sản cố định,"1,653","2,297","2,458","2,509","2,624"
1. Tài sản cố định hữu hình,755,"1,389","1,514","1,581","1,578"
a. Nguyên giá TSCĐ,"1,944","2,638","2,852","2,986","3,044"
b. Hao mòn TSCĐ,"-1,189","-1,249","-1,338","-1,405","-1,466"
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,0,0,0,0,0
b. Hao mòn TSCĐ,0,0,0,0,0
3. Tài sản cố định vô hình,898,908,944,928,"1,047"
a. Nguyên giá TSCĐ,"1,307","1,347","1,404","1,409","1,565"
b. Hao mòn TSCĐ,-409,-439,-461,-481,-518
X. Bất động sản đầu tư,251,253,149,148,113
a. Nguyên giá BĐSĐT,256,258,156,156,121
b. Hao mòn BĐSĐT,-5,-6,-7,-7,-8
"XI. Tài sản ""Có"" khác","9,368","9,009","11,381","11,178","12,636"
1. Các khoản phải thu,"2,646","4,731","7,402","7,622","8,762"
"2. Các khoản lãi, phí phải thu","5,681","3,181","2,929","2,626","2,910"
3. Tài sản thuế TNDN hoãn lại,2,2,2,2,1
4. Tài sản Có khác,"1,341","1,393","1,557","1,555","1,662"
- Trong đó: Lợi thế thương mại,85,85,85,75,75
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-302,-297,-508,-627,-700
