MBB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",881,865,"1,026","1,004",930
II. Tiền gửi tại NHNN,"6,125","6,239","6,573","1,056","1,274"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","41,060","42,823","31,972","35,212","29,453"
"1. Tiền, vàng gửi tại các TCTD khác","41,060","42,823","31,972","35,212","29,453"
2. Cho vay các TCTD khác,,,,,
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,311,230,148,163,153
1. Chứng khoán kinh doanh,520,491,328,331,327
2. Dự phòng giảm giá chứng khoán kinh doanh,-209,-261,-180,-169,-175
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,
VI. Cho vay khách hàng,"63,444","73,166","71,980","78,160","79,055"
1. Cho vay và cho thuê tài chính khách hàng,"64,789","74,479","73,660","79,691","80,875"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,345","-1,313","-1,680","-1,531","-1,819"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"23,924","41,248","47,975","46,562","43,549"
1. Chứng khoán đầu tư sẵn sàng để bán,"20,858","37,806","44,532","43,509","39,807"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"3,812","4,098","4,087","3,737","3,928"
3. Dự phòng giảm giá chứng khoán đầu tư,-746,-657,-644,-684,-186
"VIII. Góp vốn, đầu tư dài hạn","1,666","1,602","1,528","1,502","1,610"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",287,283,287,292,296
3. Đầu tư dài hạn khác,"1,497","1,413","1,332","1,268","1,411"
4. Dự phòng giảm giá đầu tư dài hạn,-118,-93,-92,-58,-98
IX. Tài sản cố định,"1,501","1,498","1,559","1,802","1,827"
1. Tài sản cố định hữu hình,453,451,429,678,685
a. Nguyên giá TSCĐ,986,"1,023","1,038","1,225","1,283"
b. Hao mòn TSCĐ,-534,-572,-609,-547,-598
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"1,048","1,047","1,131","1,124","1,142"
a. Nguyên giá TSCĐ,"1,224","1,245","1,348","1,362","1,391"
b. Hao mòn TSCĐ,-175,-199,-218,-238,-249
X. Bất động sản đầu tư,150,152,152,178,178
a. Nguyên giá BĐSĐT,150,152,152,178,178
b. Hao mòn BĐSĐT,,,,,
