MBB,Q1/2011,Q2/2011,Q3/2011,Q4/2011,Q1/2012
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",846,819,841,917,830
II. Tiền gửi tại NHNN,394,"1,066","3,063","6,034","2,559"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","36,580","33,633","27,553","41,146","42,793"
"1. Tiền, vàng gửi tại các TCTD khác","36,580","33,633","27,553","40,535","42,793"
2. Cho vay các TCTD khác,0,,0,610,0
3. Dự phòng rủi ro cho vay các TCTD khác,0,,0,0,0
IV. Chứng khoán kinh doanh,"1,980","1,628","1,060",416,820
1. Chứng khoán kinh doanh,"2,100","1,923","1,300",780,"1,064"
2. Dự phòng giảm giá chứng khoán kinh doanh,-121,-296,-240,-363,-244
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,,0,0,0
VI. Cho vay khách hàng,"52,032","52,618","54,711","57,929","59,949"
1. Cho vay và cho thuê tài chính khách hàng,"52,874","53,723","55,966","59,045","61,319"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-843,"-1,105","-1,255","-1,116","-1,370"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"14,290","16,143","16,828","18,097","25,162"
1. Chứng khoán đầu tư sẵn sàng để bán,"5,578","7,792","8,583","14,400","20,944"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"8,961","8,788","8,774","4,404","4,804"
3. Dự phòng giảm giá chứng khoán đầu tư,-249,-436,-529,-707,-586
"VIII. Góp vốn, đầu tư dài hạn","2,196","2,749","2,421","1,752","1,689"
1. Đầu tư vào công ty con,0,,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",50,85,91,49,155
