MBB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,035",996,"1,040",954,"1,233"
II. Tiền gửi tại NHNN,"3,616","4,806","2,411","3,367","6,067"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","26,789","24,217","19,191","12,166","21,415"
"1. Tiền, vàng gửi tại các TCTD khác","26,789","24,217","19,191","12,166","21,415"
2. Cho vay các TCTD khác,,,,,
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"3,862","7,553","6,431","6,921","10,456"
1. Chứng khoán kinh doanh,"3,994","7,635","6,545","7,009","10,546"
2. Dự phòng giảm giá chứng khoán kinh doanh,-132,-82,-114,-88,-89
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,5
VI. Cho vay khách hàng,"85,807","85,950","92,738","90,043","98,106"
1. Cho vay và cho thuê tài chính khách hàng,"87,743","88,022","94,551","92,396","100,569"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,936","-2,072","-1,813","-2,353","-2,463"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"46,012","47,089","53,443","60,398","50,781"
1. Chứng khoán đầu tư sẵn sàng để bán,"41,474","42,050","48,122","55,269","44,648"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"4,725","5,222","5,601","5,374","6,457"
3. Dự phòng giảm giá chứng khoán đầu tư,-186,-182,-280,-245,-324
"VIII. Góp vốn, đầu tư dài hạn","1,615","1,543","1,527","1,584","1,460"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",340,343,341,364,362
3. Đầu tư dài hạn khác,"1,385","1,311","1,305","1,344","1,271"
4. Dự phòng giảm giá đầu tư dài hạn,-110,-110,-119,-124,-173
IX. Tài sản cố định,"1,837","1,810","1,847","1,849","1,927"
1. Tài sản cố định hữu hình,696,663,710,696,775
