HPG,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,459","1,853","2,308","2,680","1,652"
2. Các khoản giảm trừ doanh thu,26,32,22,39,37
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,433","1,822","2,286","2,641","1,615"
4. Giá vốn hàng bán,"1,196","1,477","1,732","2,062","1,304"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,237,345,554,579,310
6.Doanh thu hoạt động tài chính,4,13,23,34,37
7. Chi phí tài chính,5,9,14,95,29
Trong đó :Chi phí lãi vay,0,0,13,32,16
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,24,33,21,26,20
10. Chi phí quản lý doanh nghiệp,22,35,24,40,32
11. Lợi nhuận thuần từ hoạt động kinh doanh,189,280,518,452,266
12. Thu nhập khác,5,12,4,5,8
13. Chi phí khác,5,9,1,1,1
14. Lợi nhuận khác,0,3,3,4,8
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,0,0,0,4,4
15. Tổng lợi nhuận kế toán trước thuế,189,284,521,459,277
16. Chi phí thuế TNDN hiện hành,29,45,71,65,44
17. Chi phí thuế TNDN hoãn lại,1,-3,-2,-2,-2
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,159,241,452,396,235
Lợi ích của cổ đông thiểu số,1,1,1,1,1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,159,240,451,395,234
19. Lãi cơ bản trên cổ phiếu (*),0,0,"3,423","2,880","1,307"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
