HPG,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"4,570","4,238","4,512","4,144","4,618"
2. Các khoản giảm trừ doanh thu,61,92,79,58,69
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"4,509","4,146","4,432","4,086","4,548"
4. Giá vốn hàng bán,"3,704","3,580","3,862","3,539","3,867"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,805,566,571,547,681
6.Doanh thu hoạt động tài chính,108,53,79,22,25
7. Chi phí tài chính,225,319,284,190,172
Trong đó :Chi phí lãi vay,206,222,325,176,139
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,71,52,47,38,48
10. Chi phí quản lý doanh nghiệp,91,90,139,88,94
11. Lợi nhuận thuần từ hoạt động kinh doanh,525,157,179,252,393
12. Thu nhập khác,34,31,34,36,50
13. Chi phí khác,36,35,37,43,52
14. Lợi nhuận khác,-1,-4,-3,-7,-2
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,2,0,0,0,0
15. Tổng lợi nhuận kế toán trước thuế,526,153,176,244,391
16. Chi phí thuế TNDN hiện hành,46,42,40,44,67
17. Chi phí thuế TNDN hoãn lại,6,0,-8,0,-16
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,474,111,143,200,340
Lợi ích của cổ đông thiểu số,19,9,6,5,8
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,456,102,137,195,332
19. Lãi cơ bản trên cổ phiếu (*),"1,434",321,431,559,952
20. Lãi suy giảm trên cổ phiếu (*),,,,,
