HPG,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,856","1,612","2,063","2,147","2,418"
2. Các khoản giảm trừ doanh thu,43,25,33,31,35
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,813","1,587","2,030","2,116","2,383"
4. Giá vốn hàng bán,"2,005","1,140","1,547","1,577","1,876"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,-192,447,483,539,507
6.Doanh thu hoạt động tài chính,63,18,64,22,34
7. Chi phí tài chính,41,63,40,75,109
Trong đó :Chi phí lãi vay,0,6,12,0,0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,35,21,28,28,46
10. Chi phí quản lý doanh nghiệp,41,28,36,46,81
11. Lợi nhuận thuần từ hoạt động kinh doanh,-246,353,443,412,305
12. Thu nhập khác,17,5,3,5,17
13. Chi phí khác,14,0,1,2,12
14. Lợi nhuận khác,3,5,1,3,5
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,-2,1,1,2,-12
15. Tổng lợi nhuận kế toán trước thuế,-245,359,446,417,299
16. Chi phí thuế TNDN hiện hành,-16,56,71,59,65
17. Chi phí thuế TNDN hoãn lại,4,1,-11,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,-232,302,385,359,234
Lợi ích của cổ đông thiểu số,1,1,2,0,-5
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,-233,301,383,358,238
19. Lãi cơ bản trên cổ phiếu (*),0,"1,532",0,"1,824","1,214"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
