HPG,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"5,927","7,740","6,948","7,254","7,257"
2. Các khoản giảm trừ doanh thu,89,93,103,132,115
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"5,838","7,648","6,845","7,122","7,142"
4. Giá vốn hàng bán,"4,822","5,948","5,285","5,817","5,712"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,016","1,699","1,560","1,305","1,431"
6.Doanh thu hoạt động tài chính,73,53,62,66,58
7. Chi phí tài chính,109,123,232,108,94
Trong đó :Chi phí lãi vay,58,52,66,77,81
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,0,,0,
9. Chi phí bán hàng,100,96,116,112,93
10. Chi phí quản lý doanh nghiệp,111,101,125,421,94
11. Lợi nhuận thuần từ hoạt động kinh doanh,769,"1,432","1,150",729,"1,208"
12. Thu nhập khác,62,74,96,93,99
13. Chi phí khác,93,98,85,140,95
14. Lợi nhuận khác,-31,-24,11,-46,4
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,738,"1,408","1,161",683,"1,211"
16. Chi phí thuế TNDN hiện hành,90,166,133,128,196
17. Chi phí thuế TNDN hoãn lại,-2,-10,-8,-11,-5
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,650,"1,252","1,036",566,"1,020"
Lợi ích của cổ đông thiểu số,2,13,4,1,-2
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,649,"1,239","1,032",565,"1,022"
19. Lãi cơ bản trên cổ phiếu (*),"1,328","1,691","1,408",771,"1,392"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
