HPG,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"12,730","12,928","13,162","14,433","14,394"
2. Các khoản giảm trừ doanh thu,190,184,161,172,205
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"12,540","12,745","13,001","14,261","14,188"
4. Giá vốn hàng bán,"9,709","9,554","10,035","11,380","10,925"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,831","3,191","2,966","2,881","3,263"
6.Doanh thu hoạt động tài chính,34,46,63,79,80
7. Chi phí tài chính,151,146,172,159,234
Trong đó :Chi phí lãi vay,131,135,118,135,142
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",0,,,,
9. Chi phí bán hàng,137,175,144,155,188
10. Chi phí quản lý doanh nghiệp,100,177,114,66,52
11. Lợi nhuận thuần từ hoạt động kinh doanh,"2,477","2,738","2,599","2,581","2,869"
12. Thu nhập khác,111,127,152,114,79
13. Chi phí khác,100,115,142,118,100
14. Lợi nhuận khác,11,12,10,-3,-21
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"2,488","2,750","2,608","2,577","2,848"
16. Chi phí thuế TNDN hiện hành,365,358,401,370,446
17. Chi phí thuế TNDN hoãn lại,-17,-9,-15,5,-6
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,140","2,401","2,223","2,202","2,408"
Lợi ích của cổ đông thiểu số,1,5,12,7,6
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,139","2,396","2,211","2,196","2,402"
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
