HPG,Q1/2007,Q2/2007,Q3/2007,Q4/2007,Q1/2008
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"1,586","2,265","2,620","3,094","3,921"
I. Tiền và các khoản tương đương tiền,74,121,253,380,405
1. Tiền,74,121,253,380,236
2. Các khoản tương đương tiền,0,0,0,0,170
II.  Đầu tư tài chính ngắn hạn,0,100,377,285,169
1. Chứng khoán kinh doanh,0,100,377,285,169
2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,0,0,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,520,654,695,912,"1,418"
1. Phải thu ngắn hạn của khách hàng,417,504,586,912,717
2. Trả trước cho người bán ngắn hạn,70,111,99,0,694
3. Phải thu nội bộ ngắn hạn,0,0,0,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,35,41,12,0,15
7. Dự phòng phải thu ngắn hạn khó đòi (*),-2,-2,-2,0,-8
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,902,"1,318","1,226","1,412","1,813"
1. Hàng tồn kho,902,"1,318","1,226","1,412","1,813"
2. Dự phòng giảm giá hàng tồn kho (*),0,0,0,0,-1
V. Tài sản ngắn hạn khác,91,71,69,106,116
1. Chi phí trả trước ngắn hạn,10,12,8,106,12
2. Thuế GTGT được khấu trừ,15,22,23,0,33
3. Thuế và các khoản khác phải thu của nhà nước,1,0,0,0,0
4. Giao dịch mua bán lại trái phiếu chính phủ,0,0,0,0,0
5. Tài sản ngắn hạn khác,65,37,39,0,71
B. TÀI SẢN DÀI HẠN,925,"1,368","1,131","1,591","1,649"
I. Các khoản phải thu dài hạn,0,0,0,0,260
