HPG,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"2,557","3,395","3,981","4,560","4,799"
2. Các khoản giảm trừ doanh thu,39,49,65,73,51
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"2,518","3,346","3,916","4,487","4,748"
4. Giá vốn hàng bán,"2,055","2,799","3,280","3,675","3,758"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,463,547,636,812,989
6.Doanh thu hoạt động tài chính,35,51,48,70,115
7. Chi phí tài chính,88,137,198,270,317
Trong đó :Chi phí lãi vay,61,84,125,143,159
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,37,39,49,54,44
10. Chi phí quản lý doanh nghiệp,51,59,77,87,85
11. Lợi nhuận thuần từ hoạt động kinh doanh,323,362,359,472,658
12. Thu nhập khác,4,206,25,22,18
13. Chi phí khác,2,203,26,24,22
14. Lợi nhuận khác,2,3,-1,-2,-3
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,10,32,2,2,-22
15. Tổng lợi nhuận kế toán trước thuế,335,397,361,472,633
16. Chi phí thuế TNDN hiện hành,51,54,32,71,81
17. Chi phí thuế TNDN hoãn lại,1,-6,0,-14,-1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,283,349,329,415,553
Lợi ích của cổ đông thiểu số,5,7,5,11,27
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,278,342,324,404,526
19. Lãi cơ bản trên cổ phiếu (*),"1,416","1,160","1,101","1,340","1,656"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
