HPG,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"8,144","8,309","10,176","10,431","10,765"
2. Các khoản giảm trừ doanh thu,95,167,225,166,153
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"8,048","8,142","9,950","10,265","10,612"
4. Giá vốn hàng bán,"5,477","6,025","7,311","7,802","8,423"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,572","2,117","2,639","2,463","2,189"
6.Doanh thu hoạt động tài chính,55,43,46,74,32
7. Chi phí tài chính,95,83,101,112,147
Trong đó :Chi phí lãi vay,67,69,6,84,130
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",0,,-1,0,0
9. Chi phí bán hàng,104,136,157,139,218
10. Chi phí quản lý doanh nghiệp,65,83,170,73,59
11. Lợi nhuận thuần từ hoạt động kinh doanh,"2,363","1,857","2,257","2,213","1,797"
12. Thu nhập khác,130,104,107,113,109
13. Chi phí khác,111,105,111,83,98
14. Lợi nhuận khác,19,-2,-4,30,11
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"2,382","1,856","2,253","2,243","1,808"
16. Chi phí thuế TNDN hiện hành,400,249,293,316,278
17. Chi phí thuế TNDN hoãn lại,-49,1,10,-8,-9
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,030","1,606","1,950","1,935","1,539"
Lợi ích của cổ đông thiểu số,4,1,1,1,1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,026","1,605","1,949","1,934","1,538"
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
