HPG,Q1/2007,Q2/2007,Q3/2007,Q4/2007,Q1/2008
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,063","1,359","1,459","1,853","2,308"
2. Các khoản giảm trừ doanh thu,8,27,26,32,22
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,055","1,332","1,433","1,822","2,286"
4. Giá vốn hàng bán,882,"1,101","1,196","1,477","1,732"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,172,231,237,345,554
6.Doanh thu hoạt động tài chính,3,3,4,13,23
7. Chi phí tài chính,21,10,5,9,14
Trong đó :Chi phí lãi vay,0,9,0,0,13
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,12,19,24,33,21
10. Chi phí quản lý doanh nghiệp,24,25,22,35,24
11. Lợi nhuận thuần từ hoạt động kinh doanh,118,181,189,280,518
12. Thu nhập khác,18,5,5,12,4
13. Chi phí khác,16,6,5,9,1
14. Lợi nhuận khác,2,0,0,3,3
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,0,0,0,0,0
15. Tổng lợi nhuận kế toán trước thuế,120,181,189,284,521
16. Chi phí thuế TNDN hiện hành,21,28,29,45,71
17. Chi phí thuế TNDN hoãn lại,-1,-1,1,-3,-2
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,100,154,159,241,452
Lợi ích của cổ đông thiểu số,0,1,1,1,1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,100,153,159,240,451
19. Lãi cơ bản trên cổ phiếu (*),0,0,0,0,"3,423"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
