HPG,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"14,592","15,180","15,331","15,350","18,282"
2. Các khoản giảm trừ doanh thu,206,217,234,262,307
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"14,386","14,963","15,097","15,087","17,975"
4. Giá vốn hàng bán,"11,831","12,342","12,070","12,385","15,140"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,555","2,621","3,027","2,702","2,836"
6.Doanh thu hoạt động tài chính,72,92,123,139,122
7. Chi phí tài chính,207,241,305,329,312
Trong đó :Chi phí lãi vay,145,185,215,266,270
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,-1
9. Chi phí bán hàng,186,193,269,227,185
10. Chi phí quản lý doanh nghiệp,210,122,106,150,191
11. Lợi nhuận thuần từ hoạt động kinh doanh,"2,024","2,158","2,470","2,135","2,269"
12. Thu nhập khác,144,128,160,179,192
13. Chi phí khác,131,115,150,153,176
14. Lợi nhuận khác,13,13,10,26,16
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"2,037","2,171","2,480","2,161","2,285"
16. Chi phí thuế TNDN hiện hành,290,389,445,398,371
17. Chi phí thuế TNDN hoãn lại,-19,-28,-16,-31,-10
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,767","1,810","2,050","1,794","1,923"
Lợi ích của cổ đông thiểu số,3,10,15,40,6
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,764","1,801","2,035","1,755","1,917"
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
