SHB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,145","1,413","1,292","1,363","1,277"
II. Tiền gửi tại NHNN,"3,449","1,513","2,719","1,877","2,175"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","26,529","24,411","30,930","31,271","23,674"
"1. Tiền, vàng gửi tại các TCTD khác","22,700","20,078","23,758","27,366","21,440"
2. Cho vay các TCTD khác,"3,834","4,339","7,177","3,910","2,240"
3. Dự phòng rủi ro cho vay các TCTD khác,-5,-5,-5,-5,-5
IV. Chứng khoán kinh doanh,52,50,41,45,"2,399"
1. Chứng khoán kinh doanh,67,65,65,60,"2,403"
2. Dự phòng giảm giá chứng khoán kinh doanh,-15,-15,-24,-15,-4
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,0,,0,0
VI. Cho vay khách hàng,"139,397","145,627","160,584","170,156","177,779"
1. Cho vay và cho thuê tài chính khách hàng,"140,941","147,340","162,370","172,090","179,727"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,543","-1,713","-1,786","-1,934","-1,948"
VII. Hoạt động mua nợ,0,0,,0,0
1. Mua nợ,0,0,,0,0
2. Dự phòng rủi ro hoạt động mua nợ,0,0,,0,0
VII. Chứng khoán đầu tư,"19,427","20,203","18,808","21,995","21,594"
1. Chứng khoán đầu tư sẵn sàng để bán,"10,624","11,523","10,788","13,662","13,086"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"9,475","9,422","9,440","9,770","10,025"
3. Dự phòng giảm giá chứng khoán đầu tư,-673,-742,"-1,420","-1,437","-1,517"
"VIII. Góp vốn, đầu tư dài hạn",290,226,223,236,236
1. Đầu tư vào công ty con,0,0,,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,,0,0
3. Đầu tư dài hạn khác,299,234,229,242,242
4. Dự phòng giảm giá đầu tư dài hạn,-9,-8,-6,-6,-6
IX. Tài sản cố định,"4,014","3,855","3,962","3,940","3,912"
1. Tài sản cố định hữu hình,339,328,424,409,389
a. Nguyên giá TSCĐ,832,836,963,969,968
b. Hao mòn TSCĐ,-493,-507,-539,-560,-580
2. Tài sản cố định thuê tài chính,0,0,,0,0
a. Nguyên giá TSCĐ,0,0,,0,0
b. Hao mòn TSCĐ,0,0,,0,0
3. Tài sản cố định vô hình,"3,675","3,527","3,538","3,531","3,523"
a. Nguyên giá TSCĐ,"3,843","3,703","3,727","3,728","3,728"
b. Hao mòn TSCĐ,-168,-176,-189,-197,-205
X. Bất động sản đầu tư,17,17,17,17,17
a. Nguyên giá BĐSĐT,17,17,17,17,17
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","17,686","17,692","16,210","17,011","18,723"
1. Các khoản phải thu,"1,267","1,316","1,298","1,331","1,369"
"2. Các khoản lãi, phí phải thu","9,235","10,171","8,208","8,368","8,990"
3. Tài sản thuế TNDN hoãn lại,0,0,,0,0
4. Tài sản Có khác,"7,260","6,283","6,785","7,537","8,596"
- Trong đó: Lợi thế thương mại,0,0,,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-76,-78,-81,-225,-232
TỔNG CỘNG TÀI SẢN,"212,006","215,008","234,786","247,910","251,785"
