SHB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,371","1,558","1,709","1,537","1,564"
II. Tiền gửi tại NHNN,"54,764","8,836","23,163","38,163","27,441"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","63,548","69,289","85,931","101,054","117,349"
"1. Tiền, vàng gửi tại các TCTD khác","54,826","48,326","64,506","77,595","92,636"
2. Cho vay các TCTD khác,"8,841","21,081","21,544","23,459","24,713"
3. Dự phòng rủi ro cho vay các TCTD khác,-119,-118,-119,,
IV. Chứng khoán kinh doanh,"7,852","6,071","4,919","6,634","4,910"
1. Chứng khoán kinh doanh,"7,853","6,118","4,958","6,672","4,950"
2. Dự phòng giảm giá chứng khoán kinh doanh,-2,-47,-39,-39,-39
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,21,
VI. Cho vay khách hàng,"428,764","428,513","452,158","471,739","510,999"
1. Cho vay và cho thuê tài chính khách hàng,"438,464","437,667","461,256","480,984","519,950"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-9,700","-9,154","-9,098","-9,245","-8,951"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"32,079","62,809","48,012","29,003","32,337"
1. Chứng khoán đầu tư sẵn sàng để bán,"14,374","14,021","14,024","12,734","14,957"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"17,834","48,929","34,241","16,508","17,813"
3. Dự phòng giảm giá chứng khoán đầu tư,-129,-141,-253,-239,-433
"VIII. Góp vốn, đầu tư dài hạn",342,422,433,432,438
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",295,351,358,358,364
3. Đầu tư dài hạn khác,158,158,158,158,158
4. Dự phòng giảm giá đầu tư dài hạn,-112,-87,-84,-84,-84
IX. Tài sản cố định,"5,229","5,244","5,254","5,255","5,328"
1. Tài sản cố định hữu hình,735,751,750,757,827
