SHB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,125","1,094","1,119","1,918","1,025"
II. Tiền gửi tại NHNN,"2,805","2,572","1,818","4,328","2,262"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","17,163","18,545","23,046","29,826","25,291"
"1. Tiền, vàng gửi tại các TCTD khác","16,468","16,550","21,403","25,968","23,303"
2. Cho vay các TCTD khác,700,"2,000","1,649","3,863","1,994"
3. Dự phòng rủi ro cho vay các TCTD khác,-5,-5,-5,-5,-5
IV. Chứng khoán kinh doanh,33,23,18,19,53
1. Chứng khoán kinh doanh,54,39,35,35,68
2. Dự phòng giảm giá chứng khoán kinh doanh,-22,-16,-17,-17,-15
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,13,0,0,0,0
VI. Cho vay khách hàng,"110,849","117,448","121,306","130,006","136,058"
1. Cho vay và cho thuê tài chính khách hàng,"111,901","118,600","122,567","131,427","137,647"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,052","-1,152","-1,261","-1,421","-1,589"
VII. Hoạt động mua nợ,0,0,0,0,0
1. Mua nợ,0,0,0,0,0
2. Dự phòng rủi ro hoạt động mua nợ,0,0,0,0,0
VII. Chứng khoán đầu tư,"13,448","18,068","14,296","15,303","18,250"
1. Chứng khoán đầu tư sẵn sàng để bán,"5,782","5,668","5,060","5,417","8,996"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"8,033","12,812","9,646","10,399","9,817"
3. Dự phòng giảm giá chứng khoán đầu tư,-367,-412,-410,-513,-563
"VIII. Góp vốn, đầu tư dài hạn",307,307,308,303,289
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,0,0,0
