SHB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,696","1,905","1,878","1,675","2,076"
II. Tiền gửi tại NHNN,"7,266","8,575","14,351","6,993","11,185"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","44,952","48,801","64,133","60,433","50,960"
"1. Tiền, vàng gửi tại các TCTD khác","41,895","46,301","55,909","55,032","39,318"
2. Cho vay các TCTD khác,"3,057","2,501","8,263","5,440","11,681"
3. Dự phòng rủi ro cho vay các TCTD khác,,,-40,-40,-40
IV. Chứng khoán kinh doanh,2,2,3,3,2
1. Chứng khoán kinh doanh,4,4,4,4,4
2. Dự phòng giảm giá chứng khoán kinh doanh,-2,-2,-1,-1,-2
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,168,403,252,260,
VI. Cho vay khách hàng,"327,583","335,232","357,456","366,565","366,683"
1. Cho vay và cho thuê tài chính khách hàng,"331,480","339,406","362,416","371,787","372,675"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-3,897","-4,174","-4,960","-5,222","-5,992"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"26,716","26,020","25,094","36,061","37,186"
1. Chứng khoán đầu tư sẵn sàng để bán,"10,500","11,187","9,982","20,216","21,139"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"17,039","15,316","15,169","15,886","16,190"
3. Dự phòng giảm giá chứng khoán đầu tư,-824,-483,-57,-42,-143
"VIII. Góp vốn, đầu tư dài hạn",132,132,132,127,127
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,164,164,164,158,158
4. Dự phòng giảm giá đầu tư dài hạn,-33,-33,-33,-32,-32
IX. Tài sản cố định,"4,889","4,883","4,990","4,982","4,951"
1. Tài sản cố định hữu hình,537,531,536,526,501
a. Nguyên giá TSCĐ,"1,311","1,313","1,318","1,319","1,277"
b. Hao mòn TSCĐ,-774,-782,-782,-793,-776
2. Tài sản cố định thuê tài chính,15,13,11,10,8
a. Nguyên giá TSCĐ,22,20,18,17,14
b. Hao mòn TSCĐ,-7,-7,-7,-7,-6
3. Tài sản cố định vô hình,"4,337","4,339","4,443","4,446","4,442"
a. Nguyên giá TSCĐ,"4,634","4,638","4,747","4,754","4,754"
b. Hao mòn TSCĐ,-297,-300,-304,-309,-312
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","44,946","38,642","38,267","38,455","48,963"
1. Các khoản phải thu,"26,722","18,754","28,903","25,414","31,286"
"2. Các khoản lãi, phí phải thu","10,677","13,368","6,379","8,768","10,757"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"7,895","6,869","3,240","4,528","7,228"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-348,-348,-256,-256,-309
TỔNG CỘNG TÀI SẢN,"458,349","464,595","506,556","515,553","522,131"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,558,678,"1,511","1,485","1,457"
