SHB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,565","1,514","1,640","1,620","1,816"
II. Tiền gửi tại NHNN,"4,279","9,884","9,315","14,805","5,044"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","25,362","39,440","27,335","31,253","31,010"
"1. Tiền, vàng gửi tại các TCTD khác","25,362","38,140","27,335","31,252","30,995"
2. Cho vay các TCTD khác,,"1,300",,1,15
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,1,0,0,1,"3,639"
1. Chứng khoán kinh doanh,4,4,4,4,"3,642"
2. Dự phòng giảm giá chứng khoán kinh doanh,-3,-3,-3,-3,-3
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,152,161,134,62
VI. Cho vay khách hàng,"279,030","283,694","288,118","302,010","307,234"
1. Cho vay và cho thuê tài chính khách hàng,"282,160","287,379","292,207","305,637","310,691"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-3,130","-3,685","-4,089","-3,628","-3,457"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"21,673","18,441","35,810","28,630","38,890"
1. Chứng khoán đầu tư sẵn sàng để bán,"9,202","7,252","21,385","16,386","23,766"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"13,212","11,570","14,941","13,133","16,002"
3. Dự phòng giảm giá chứng khoán đầu tư,-741,-382,-516,-889,-878
"VIII. Góp vốn, đầu tư dài hạn",133,133,133,133,133
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,166,166,166,166,166
