SHB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",657,485,735,624,623
II. Tiền gửi tại NHNN,"1,667","2,789","3,878",486,"1,784"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","26,065","30,140","19,142","19,239","18,961"
"1. Tiền, vàng gửi tại các TCTD khác","26,065","21,274","17,650","13,958","5,857"
2. Cho vay các TCTD khác,,"8,890","1,512","5,292","13,144"
3. Dự phòng rủi ro cho vay các TCTD khác,,-24,-20,-11,-40
IV. Chứng khoán kinh doanh,139,13,42,62,36
1. Chứng khoán kinh doanh,171,41,68,89,60
2. Dự phòng giảm giá chứng khoán kinh doanh,-32,-27,-26,-27,-24
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,2,6,40,7,
VI. Cho vay khách hàng,"45,250","55,562","53,779","56,641","63,744"
1. Cho vay và cho thuê tài chính khách hàng,"47,082","56,813","54,894","58,479","65,487"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,833","-1,251","-1,115","-1,837","-1,743"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"13,512","12,699","10,714","11,295","14,670"
1. Chứng khoán đầu tư sẵn sàng để bán,"7,911","7,964","7,248","6,540","8,919"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"5,717","4,745","3,475","4,764","5,760"
3. Dự phòng giảm giá chứng khoán đầu tư,-116,-10,-9,-9,-9
"VIII. Góp vốn, đầu tư dài hạn","1,264",431,431,359,359
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",77,69,,,
3. Đầu tư dài hạn khác,"1,217",366,435,411,411
4. Dự phòng giảm giá đầu tư dài hạn,-30,-4,-4,-52,-52
IX. Tài sản cố định,"3,613","3,880","3,871","4,080","4,059"
1. Tài sản cố định hữu hình,391,393,385,352,337
a. Nguyên giá TSCĐ,674,694,705,630,631
b. Hao mòn TSCĐ,-282,-301,-320,-279,-294
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"3,221","3,487","3,487","3,728","3,722"
a. Nguyên giá TSCĐ,"3,293","3,576","3,583","3,835","3,835"
b. Hao mòn TSCĐ,-72,-89,-97,-107,-114
X. Bất động sản đầu tư,71,68,85,84,84
a. Nguyên giá BĐSĐT,71,68,85,84,84
b. Hao mòn BĐSĐT,,,,,
