TPB,Q3/2011,Q1/2014,Q1/2015,Q3/2015,Q1/2016
Giai đoạn,01/07-30/09,01/01-31/03,01/01-31/03,01/07-30/09,01/01-31/03
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",87,314,493,554,
II. Tiền gửi tại NHNN,61,36,103,823,
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","12,461","1,936","4,840","14,272",
"1. Tiền, vàng gửi tại các TCTD khác","11,842","1,338","3,710","12,762",
2. Cho vay các TCTD khác,619,765,"1,148","1,510",
3. Dự phòng rủi ro cho vay các TCTD khác,0,-168,-18,,
IV. Chứng khoán kinh doanh,34,184,145,,
1. Chứng khoán kinh doanh,41,210,145,,
2. Dự phòng giảm giá chứng khoán kinh doanh,-7,-26,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,261,4,,,
VI. Cho vay khách hàng,"4,425","13,161","20,103","33,774",
1. Cho vay và cho thuê tài chính khách hàng,"4,494","13,309","20,305","34,082",
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-69,-149,-202,-308,
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"8,233","11,955","17,588","21,897",
1. Chứng khoán đầu tư sẵn sàng để bán,"8,233","11,583","17,362","21,525",
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,0,438,476,604,
3. Dự phòng giảm giá chứng khoán đầu tư,0,-66,-251,-233,
"VIII. Góp vốn, đầu tư dài hạn",10,9,9,,
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",10,,,,
3. Đầu tư dài hạn khác,0,10,10,,
4. Dự phòng giảm giá đầu tư dài hạn,0,-1,-1,,
IX. Tài sản cố định,107,66,78,130,
1. Tài sản cố định hữu hình,92,53,58,98,
a. Nguyên giá TSCĐ,137,131,151,214,
b. Hao mòn TSCĐ,-45,-78,-93,-116,
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,16,12,20,32,
a. Nguyên giá TSCĐ,33,48,61,82,
b. Hao mòn TSCĐ,-18,-36,-41,-50,
X. Bất động sản đầu tư,0,,,,
a. Nguyên giá BĐSĐT,0,,,,
b. Hao mòn BĐSĐT,0,,,,
"XI. Tài sản ""Có"" khác","6,906","2,026","1,557","2,150",
1. Các khoản phải thu,"2,995","1,280","1,019","1,428",
"2. Các khoản lãi, phí phải thu",490,640,741,909,
3. Tài sản thuế TNDN hoãn lại,0,,,,
4. Tài sản Có khác,"3,421","1,081",683,712,
- Trong đó: Lợi thế thương mại,0,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,-974,-886,-900,
TỔNG CỘNG TÀI SẢN,"32,586","29,690","44,916","73,599",
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,282,29,668,,
II. Tiền gửi và vay các TCTD khác,"17,033","7,676","15,981","24,305",
1. Tiền gửi của các TCTD khác,"17,033","3,387","8,993","17,953",
2. Vay các TCTD khác,0,"4,289","6,988","6,353",
III. Tiền gửi của khách hàng,"7,508","15,507","23,967","42,865",
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,28,92,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",931,182,180,,
VI. Phát hành giấy tờ có giá,"2,183","2,226",,,
VII. Các khoản nợ khác,"1,371",424,398,608,
"1. Các khoản lãi, phí phải trả",407,317,259,466,
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,965,98,139,142,
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,9,,,
TỔNG NỢ PHẢI TRẢ,"29,308","25,862","40,556","68,718",
VIII. Vốn và các quỹ,"3,278","3,828","4,360","4,881",
1. Vốn của TCTD,"2,997","4,527","4,527","4,527",
a. Vốn điều lệ,"3,000","5,550","5,550","5,550",
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,0,"-1,020","-1,020","-1,020",
d. Cổ phiếu quỹ,-3,-3,-3,-3,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,,,,
2. Quỹ của TCTD,42,42,42,42,
3. Chênh lệch tỷ giá hối đoái,-12,4,-10,-8,
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,251,-746,-199,320,
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"32,586","29,690","44,916","73,599",
