TPB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"1,187","1,334","1,529","1,612","1,762"
2. Chi phí lãi và các chi phí tương tự,718,784,835,999,"1,072"
I. Thu nhập lãi thuần,469,550,694,613,690
3. Thu nhập từ hoạt động dịch vụ,35,39,45,51,68
4. Chi phí hoạt động dịch vụ,13,16,22,23,16
II. Lãi/lỗ thuần từ hoạt động dịch vụ,22,23,23,28,51
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,9,-9,77,-20,-20
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,25,1,38,103,45
5. Thu nhập từ hoạt động khác,0,2,3,2,13
6. Chi phí hoạt động khác,3,1,2,3,1
VI. Lãi/lỗ thuần từ hoạt động khác,-3,1,1,-1,11
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,,
VIII. Chi phí hoạt động,352,375,361,431,361
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),171,191,472,291,417
X. Chi phí dự phòng rủi ro tín dụng,59,42,120,75,149
XI. Tổng lợi nhuận trước thuế (IX-X),112,149,352,215,267
7. Chi phí thuế TNDN hiện hành,5,10,125,,5
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,5,10,125,,5
XIII. Lợi nhuận sau thuế (XI-XII),107,139,227,215,262
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),107,139,227,215,262
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
