TPB,Q3/2011,Q1/2014,Q1/2015,Q3/2015,Q1/2016
Giai đoạn,01/07-30/09,01/01-31/03,01/01-31/03,01/07-30/09,01/01-31/03
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,601,562,738,852,"1,124"
2. Chi phí lãi và các chi phí tương tự,651,345,433,478,717
I. Thu nhập lãi thuần,-51,217,305,373,408
3. Thu nhập từ hoạt động dịch vụ,7,13,19,29,28
4. Chi phí hoạt động dịch vụ,77,4,7,8,9
II. Lãi/lỗ thuần từ hoạt động dịch vụ,-70,8,12,20,18
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,1,10,-7,-6,-19
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,13,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,1,6,23,-10,1
5. Thu nhập từ hoạt động khác,289,17,3,3,0
6. Chi phí hoạt động khác,5,1,5,9,2
VI. Lãi/lỗ thuần từ hoạt động khác,284,16,-2,-6,-2
"VII. Thu nhập từ góp vốn, mua cổ phần",1,,,,
VIII. Chi phí hoạt động,61,114,175,198,239
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),105,156,156,173,167
X. Chi phí dự phòng rủi ro tín dụng,0,35,,83,74
XI. Tổng lợi nhuận trước thuế (IX-X),105,120,156,89,93
7. Chi phí thuế TNDN hiện hành,26,,22,,
8. Chi phí thuế TNDN hoãn lại,0,,,,
XII. Chi phí thuế TNDN,26,,22,,
XIII. Lợi nhuận sau thuế (XI-XII),79,120,134,89,93
XIV. Lợi ích của cổ đông thiểu số,0,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),79,120,134,89,93
Lãi cơ bản trên cổ phiếu (BCTC),0,,,,
