TPB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,608","1,621","1,790","2,214","1,829"
II. Tiền gửi tại NHNN,"3,250","7,702","8,870","9,109","10,467"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","23,885","23,350","19,326","12,698","14,595"
"1. Tiền, vàng gửi tại các TCTD khác","20,491","18,962","16,101","8,686","8,734"
2. Cho vay các TCTD khác,"3,394","4,388","3,225","4,013","5,861"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,,,,,
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,86,59,72,77,154
VI. Cho vay khách hàng,"99,077","98,754","108,524","118,085","122,399"
1. Cho vay và cho thuê tài chính khách hàng,"100,509","100,419","110,340","119,991","124,387"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,432","-1,665","-1,817","-1,906","-1,988"
VII. Hoạt động mua nợ,"1,021","1,113","1,071","1,043","1,000"
1. Mua nợ,"1,029","1,122","1,080","1,051","1,008"
2. Dự phòng rủi ro hoạt động mua nợ,-8,-8,-8,-8,-8
VII. Chứng khoán đầu tư,"37,789","38,211","42,338","48,095","49,335"
1. Chứng khoán đầu tư sẵn sàng để bán,"37,870","38,324","42,455","48,197","49,427"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,45,45,45,45,45
3. Dự phòng giảm giá chứng khoán đầu tư,-126,-158,-161,-147,-136
"VIII. Góp vốn, đầu tư dài hạn",40,,,,
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,40,,,,
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,627,602,566,709,780
1. Tài sản cố định hữu hình,405,387,361,476,538
a. Nguyên giá TSCĐ,763,774,781,934,"1,036"
b. Hao mòn TSCĐ,-358,-387,-420,-459,-498
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,222,215,205,233,241
a. Nguyên giá TSCĐ,412,419,435,484,513
b. Hao mòn TSCĐ,-190,-204,-230,-251,-272
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","9,250","9,926","10,903","14,284","15,593"
1. Các khoản phải thu,"6,091","6,884","7,584","11,088","12,428"
"2. Các khoản lãi, phí phải thu","1,670","1,565","1,821","1,677","1,643"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"1,504","1,503","1,523","1,573","1,576"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-15,-26,-26,-54,-54
TỔNG CỘNG TÀI SẢN,"176,632","181,340","193,461","206,315","216,153"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"1,475",772,732,698,668
II. Tiền gửi và vay các TCTD khác,"50,977","45,992","43,783","40,880","48,712"
1. Tiền gửi của các TCTD khác,"34,380","31,271","31,258","19,401","28,483"
2. Vay các TCTD khác,"16,597","14,722","12,525","21,479","20,229"
III. Tiền gửi của khách hàng,"89,687","96,214","108,694","115,904","120,037"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",728,710,690,689,680
VI. Phát hành giấy tờ có giá,"16,500","19,643","20,277","27,439","24,444"
VII. Các khoản nợ khác,"3,402","3,537","3,847","3,961","3,662"
"1. Các khoản lãi, phí phải trả","2,138","2,080","2,500","2,608","2,643"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"1,264","1,457","1,347","1,353","1,019"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"162,769","166,868","178,023","189,570","198,203"
VIII. Vốn và các quỹ,"13,863","14,472","15,438","16,744","17,950"
1. Vốn của TCTD,"7,657","7,657","7,657","9,859","9,859"
a. Vốn điều lệ,"8,566","8,566","8,566","10,717","10,717"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,0,0,0,51,51
d. Cổ phiếu quỹ,-909,-909,-909,-909,-909
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,576,"1,040","1,040",862,862
3. Chênh lệch tỷ giá hối đoái,205,175,67,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"5,424","5,774","6,565","6,023","7,161"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"176,632","181,340","193,461","206,315","216,153"
