TPB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"4,365","4,236","4,732","5,031","5,351"
2. Chi phí lãi và các chi phí tương tự,"1,838","1,890","1,922","2,199","2,316"
I. Thu nhập lãi thuần,"2,527","2,346","2,810","2,831","3,035"
3. Thu nhập từ hoạt động dịch vụ,590,563,661,744,917
4. Chi phí hoạt động dịch vụ,178,205,172,232,237
II. Lãi/lỗ thuần từ hoạt động dịch vụ,413,358,490,511,681
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,159,-45,261,32,179
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,279,913,-53,81,460
5. Thu nhập từ hoạt động khác,59,106,188,275,363
6. Chi phí hoạt động khác,2,4,85,115,145
VI. Lãi/lỗ thuần từ hoạt động khác,57,102,103,160,218
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,,
VIII. Chi phí hoạt động,"1,238",941,"1,407","1,238","1,763"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,197","2,733","2,204","2,378","2,810"
X. Chi phí dự phòng rủi ro tín dụng,612,"1,346",560,755,645
XI. Tổng lợi nhuận trước thuế (IX-X),"1,585","1,387","1,645","1,623","2,165"
7. Chi phí thuế TNDN hiện hành,316,277,329,324,433
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,316,277,329,324,433
XIII. Lợi nhuận sau thuế (XI-XII),"1,269","1,110","1,315","1,299","1,732"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,269","1,110","1,315","1,299","1,732"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
