TPB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Đơn lẻ,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"7,753","6,533","6,233","6,324","6,859"
2. Chi phí lãi và các chi phí tương tự,"3,757","3,106","2,996","3,150","3,791"
I. Thu nhập lãi thuần,"3,996","3,427","3,237","3,174","3,068"
3. Thu nhập từ hoạt động dịch vụ,396,947,"1,194","1,062","1,184"
4. Chi phí hoạt động dịch vụ,282,232,248,267,276
II. Lãi/lỗ thuần từ hoạt động dịch vụ,114,715,945,794,909
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,342,83,1,-47,282
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,1,0,0,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,32,475,-45,-61,725
5. Thu nhập từ hoạt động khác,331,223,318,294,394
6. Chi phí hoạt động khác,372,239,220,159,257
VI. Lãi/lỗ thuần từ hoạt động khác,-42,-16,98,135,137
"VII. Thu nhập từ góp vốn, mua cổ phần",,,0,,
VIII. Chi phí hoạt động,"1,843","1,676","1,383","1,426","1,794"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,600","3,009","2,853","2,569","3,327"
X. Chi phí dự phòng rủi ro tín dụng,"1,970","1,181",949,838,"1,191"
XI. Tổng lợi nhuận trước thuế (IX-X),630,"1,829","1,904","1,731","2,136"
7. Chi phí thuế TNDN hiện hành,136,366,381,348,431
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,136,366,381,348,431
XIII. Lợi nhuận sau thuế (XI-XII),494,"1,463","1,523","1,383","1,705"
XIV. Lợi ích của cổ đông thiểu số,,,0,0,0
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),494,"1,463","1,523","1,383","1,705"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
