TPB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"1,952","1,998","2,161","2,292","2,356"
2. Chi phí lãi và các chi phí tương tự,"1,052","1,029","1,228","1,230","1,237"
I. Thu nhập lãi thuần,900,969,933,"1,062","1,120"
3. Thu nhập từ hoạt động dịch vụ,70,92,103,208,256
4. Chi phí hoạt động dịch vụ,23,53,28,39,61
II. Lãi/lỗ thuần từ hoạt động dịch vụ,47,39,75,170,195
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,14,36,-16,73,-48
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,26,49,174,58,115
5. Thu nhập từ hoạt động khác,7,24,23,99,8
6. Chi phí hoạt động khác,1,1,1,3,2
VI. Lãi/lỗ thuần từ hoạt động khác,6,23,22,96,6
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,,
VIII. Chi phí hoạt động,451,698,608,642,729
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),542,419,580,816,659
X. Chi phí dự phòng rủi ro tín dụng,218,20,67,305,70
XI. Tổng lợi nhuận trước thuế (IX-X),324,399,513,512,589
7. Chi phí thuế TNDN hiện hành,90,,,205,119
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,90,147,,205,119
XIII. Lợi nhuận sau thuế (XI-XII),234,252,513,307,471
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),234,252,513,307,471
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
