TPB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"2,564","2,709","2,904","3,059","3,179"
2. Chi phí lãi và các chi phí tương tự,"1,301","1,425","1,500","1,617","1,676"
I. Thu nhập lãi thuần,"1,263","1,284","1,404","1,442","1,503"
3. Thu nhập từ hoạt động dịch vụ,297,275,330,347,413
4. Chi phí hoạt động dịch vụ,61,58,61,75,98
II. Lãi/lỗ thuần từ hoạt động dịch vụ,236,217,269,272,315
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,72,-14,29,10,19
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,5,397,196,230,87
5. Thu nhập từ hoạt động khác,20,25,36,36,930
6. Chi phí hoạt động khác,4,3,17,29,50
VI. Lãi/lỗ thuần từ hoạt động khác,16,22,19,7,880
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,,
VIII. Chi phí hoạt động,868,898,795,728,"1,000"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),724,"1,008","1,122","1,233","1,803"
X. Chi phí dự phòng rủi ro tín dụng,80,155,355,449,339
XI. Tổng lợi nhuận trước thuế (IX-X),644,853,767,784,"1,464"
7. Chi phí thuế TNDN hiện hành,130,171,154,157,293
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,130,171,154,157,293
XIII. Lợi nhuận sau thuế (XI-XII),515,682,613,627,"1,171"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),515,682,613,627,"1,171"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
