TPB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,484","3,548","3,512","3,955","4,093"
2. Chi phí lãi và các chi phí tương tự,"1,756","1,783","1,803","1,866","1,830"
I. Thu nhập lãi thuần,"1,728","1,765","1,708","2,088","2,263"
3. Thu nhập từ hoạt động dịch vụ,292,314,629,636,445
4. Chi phí hoạt động dịch vụ,135,155,135,179,163
II. Lãi/lỗ thuần từ hoạt động dịch vụ,157,159,493,458,282
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-83,277,-51,266,-2
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,323,183,82,131,270
5. Thu nhập từ hoạt động khác,414,110,110,462,142
6. Chi phí hoạt động khác,108,35,128,131,158
VI. Lãi/lỗ thuần từ hoạt động khác,306,75,-18,332,-16
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,,
VIII. Chi phí hoạt động,"1,096",992,810,"1,308",985
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,334","1,467","1,405","1,966","1,813"
X. Chi phí dự phòng rủi ro tín dụng,324,442,416,602,391
XI. Tổng lợi nhuận trước thuế (IX-X),"1,009","1,025",989,"1,365","1,422"
7. Chi phí thuế TNDN hiện hành,200,,198,274,284
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,200,,198,274,284
XIII. Lợi nhuận sau thuế (XI-XII),809,"1,025",792,"1,091","1,138"
XIV. Lợi ích của cổ đông thiểu số,,206,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),809,819,792,"1,091","1,138"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
