TPB,Q1/2010,Q2/2010,Q3/2010,Q1/2011,Q2/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",84,213,289,152,99
II. Tiền gửi tại NHNN,190,180,172,176,81
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","2,329","1,196","1,335","6,760","6,622"
"1. Tiền, vàng gửi tại các TCTD khác","2,329","1,196","1,335","6,760","6,622"
2. Cho vay các TCTD khác,0,0,0,0,0
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,0,0,0
IV. Chứng khoán kinh doanh,200,195,174,114,34
1. Chứng khoán kinh doanh,207,199,176,121,41
2. Dự phòng giảm giá chứng khoán kinh doanh,-7,-4,-2,-7,-7
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,0,0,0,0
VI. Cho vay khách hàng,"3,838","3,776","5,069","4,265","4,725"
1. Cho vay và cho thuê tài chính khách hàng,"3,870","3,810","5,113","4,333","4,794"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-32,-34,-44,-69,-69
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"4,563","4,931","5,053","7,719","7,094"
1. Chứng khoán đầu tư sẵn sàng để bán,"4,563","4,931","5,053","7,719","7,094"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,0,0,0,0,0
3. Dự phòng giảm giá chứng khoán đầu tư,0,0,0,0,0
"VIII. Góp vốn, đầu tư dài hạn",10,10,10,10,10
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",10,10,10,10,10
3. Đầu tư dài hạn khác,0,0,0,0,0
4. Dự phòng giảm giá đầu tư dài hạn,0,0,0,0,0
IX. Tài sản cố định,108,105,110,111,110
1. Tài sản cố định hữu hình,84,83,89,92,93
a. Nguyên giá TSCĐ,102,105,115,127,133
b. Hao mòn TSCĐ,-18,-22,-26,-35,-40
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,0,0,0,0,0
b. Hao mòn TSCĐ,0,0,0,0,0
3. Tài sản cố định vô hình,24,22,21,18,17
a. Nguyên giá TSCĐ,32,32,32,33,33
b. Hao mòn TSCĐ,-8,-9,-11,-14,-16
X. Bất động sản đầu tư,0,0,0,0,0
a. Nguyên giá BĐSĐT,0,0,0,0,0
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","2,144","1,794","2,445","6,263","8,275"
1. Các khoản phải thu,668,648,660,297,"4,618"
"2. Các khoản lãi, phí phải thu",224,291,291,357,413
3. Tài sản thuế TNDN hoãn lại,0,0,0,0,0
4. Tài sản Có khác,"1,253",854,"1,494","5,609","3,245"
- Trong đó: Lợi thế thương mại,0,0,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,0,0,0
TỔNG CỘNG TÀI SẢN,"13,465","12,400","14,657","25,570","27,050"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,497,236,529,627,0
II. Tiền gửi và vay các TCTD khác,"4,177","2,712","3,029","9,750","12,438"
1. Tiền gửi của các TCTD khác,"4,177","2,712","3,029","9,750","12,438"
2. Vay các TCTD khác,0,0,0,0,0
III. Tiền gửi của khách hàng,"6,198","5,611","6,714","8,662","7,704"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,22,22,25,86,69
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",367,356,352,120,"1,034"
VI. Phát hành giấy tờ có giá,0,"1,166","1,640","2,651","2,151"
VII. Các khoản nợ khác,150,184,207,423,450
"1. Các khoản lãi, phí phải trả",80,100,120,149,233
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,0
3. Các khoản phải trả và công nợ khác,70,84,87,274,218
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,0,0,0
TỔNG NỢ PHẢI TRẢ,"11,411","10,286","12,497","22,320","23,846"
VIII. Vốn và các quỹ,"2,054","2,114","2,160","3,250","3,204"
1. Vốn của TCTD,"1,989","1,989","2,000","2,997","2,997"
a. Vốn điều lệ,"1,750","1,750","2,000","3,000","3,000"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,239,239,0,0,0
d. Cổ phiếu quỹ,0,0,0,-3,-3
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,28,29,19,42,42
3. Chênh lệch tỷ giá hối đoái,-4,0,-6,-9,-7
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,42,96,147,219,172
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"13,465","12,400","14,657","25,570","27,050"
