TPB,Q1/2010,Q2/2010,Q3/2010,Q1/2011,Q2/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,430,569,597,499,568
2. Chi phí lãi và các chi phí tương tự,379,492,492,524,644
I. Thu nhập lãi thuần,50,78,105,-24,-76
3. Thu nhập từ hoạt động dịch vụ,9,8,6,9,9
4. Chi phí hoạt động dịch vụ,3,2,4,4,38
II. Lãi/lỗ thuần từ hoạt động dịch vụ,6,5,2,6,-29
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,7,-16,6,-40,-44
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,8,-8,0,11
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,3,7,1,3,0
5. Thu nhập từ hoạt động khác,9,40,24,189,301
6. Chi phí hoạt động khác,1,6,4,3,5
VI. Lãi/lỗ thuần từ hoạt động khác,9,34,20,185,296
"VII. Thu nhập từ góp vốn, mua cổ phần",3,1,0,0,0
VIII. Chi phí hoạt động,39,41,47,51,54
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),39,76,80,78,103
X. Chi phí dự phòng rủi ro tín dụng,11,2,10,0,1
XI. Tổng lợi nhuận trước thuế (IX-X),29,74,70,78,103
7. Chi phí thuế TNDN hiện hành,8,18,17,20,0
8. Chi phí thuế TNDN hoãn lại,0,0,0,0,0
XII. Chi phí thuế TNDN,8,18,17,20,0
XIII. Lợi nhuận sau thuế (XI-XII),21,56,53,59,103
XIV. Lợi ích của cổ đông thiểu số,0,0,0,0,0
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),21,56,53,59,103
Lãi cơ bản trên cổ phiếu (BCTC),0,0,0,0,0
