VJC,Q1/2016,Q2/2016,Q3/2016,Q4/2016,Q1/2017
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"6,590","5,967","6,895","8,047","5,107"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"6,590","5,967","6,895","8,047","5,107"
4. Giá vốn hàng bán,"5,767","5,071","5,869","6,891","4,336"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,823,896,"1,026","1,156",771
6.Doanh thu hoạt động tài chính,25,24,91,13,23
7. Chi phí tài chính,102,49,176,334,178
Trong đó :Chi phí lãi vay,35,39,52,55,60
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-3,-1,,-10,-5
9. Chi phí bán hàng,114,103,114,187,142
10. Chi phí quản lý doanh nghiệp,44,47,48,49,52
11. Lợi nhuận thuần từ hoạt động kinh doanh,584,719,779,589,418
12. Thu nhập khác,0,10,6,15,0
13. Chi phí khác,0,0,0,0,0
14. Lợi nhuận khác,0,10,6,15,0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,584,729,785,604,418
16. Chi phí thuế TNDN hiện hành,27,21,39,69,32
17. Chi phí thuế TNDN hoãn lại,13,14,12,12,10
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,544,694,735,523,376
Lợi ích của cổ đông thiểu số,-1,2,-3,2,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,545,693,737,521,376
19. Lãi cơ bản trên cổ phiếu (*),"2,093","3,572","2,001","1,751","1,240"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
