VJC,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"18,453","13,637","12,664","13,578","13,926"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"18,453","13,637","12,664","13,578","13,926"
4. Giá vốn hàng bán,"16,072","11,391","11,459","11,517","12,601"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,381","2,246","1,206","2,060","1,325"
6.Doanh thu hoạt động tài chính,218,113,142,403,118
7. Chi phí tài chính,237,356,262,204,187
Trong đó :Chi phí lãi vay,68,58,82,101,110
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-41,-11,-30,-3,-42
9. Chi phí bán hàng,228,205,282,232,278
10. Chi phí quản lý doanh nghiệp,135,140,42,116,137
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,959","1,647",731,"1,908",798
12. Thu nhập khác,3,1,19,5,7
13. Chi phí khác,1,0,0,0,0
14. Lợi nhuận khác,2,1,19,5,7
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,961","1,648",750,"1,913",805
16. Chi phí thuế TNDN hiện hành,40,144,86,220,161
17. Chi phí thuế TNDN hoãn lại,385,41,43,-6,105
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,536","1,463",621,"1,699",539
Lợi ích của cổ đông thiểu số,0,0,0,0,2
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,535","1,463",622,"1,700",537
19. Lãi cơ bản trên cổ phiếu (*),"3,139","2,701","1,148","3,153","1,026"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
