VJC,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"6,187","19,750","12,560","8,637","12,713"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"6,187","19,750","12,560","8,637","12,713"
4. Giá vốn hàng bán,"4,751","17,686","10,750","7,246","10,556"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,435","2,064","1,810","1,391","2,157"
6.Doanh thu hoạt động tài chính,80,62,104,81,111
7. Chi phí tài chính,186,165,199,326,325
Trong đó :Chi phí lãi vay,57,63,56,56,78
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-11,-10,-8,-31,
9. Chi phí bán hàng,188,118,166,153,166
10. Chi phí quản lý doanh nghiệp,56,66,61,65,70
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,075","1,767","1,479",897,"1,707"
12. Thu nhập khác,0,1,2,1,3
13. Chi phí khác,0,2,0,0,0
14. Lợi nhuận khác,0,-1,2,1,3
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,075","1,766","1,481",897,"1,709"
16. Chi phí thuế TNDN hiện hành,92,12,54,31,111
17. Chi phí thuế TNDN hoãn lại,18,0,61,155,-84
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,966,"1,754","1,366",712,"1,682"
Lợi ích của cổ đông thiểu số,-1,0,0,0,-1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,967,"1,755","1,366",712,"1,682"
19. Lãi cơ bản trên cổ phiếu (*),"2,142","3,888","3,026","1,577","3,106"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
