SSI,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"65,755","61,958","67,558","64,284","70,932"
I. Tài sản tài chính ngắn hạn,"65,659","61,829","67,451","64,079","70,814"
1. Tiền và các khoản tương đương tiền,494,155,"2,132",661,239
1.1. Tiền,479,142,131,661,209
1.2. Các khoản tương đương tiền,15,13,"2,001",,30
Các khoản đầu tư tài chính ngắn hạn,,,,,
+Đầu tư ngắn hạn,,,,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,,,,,
Dự phòng giảm giá đầu tư ngắn hạn,,,,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),"44,072","39,295","40,015","37,316","42,438"
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),"4,973","3,592","3,401","4,979","3,894"
4. Các khoản cho vay,"15,134","17,570","20,385","19,499","21,999"
5. Các tài sản tài chính sẵn sàn để bán (AFS),416,573,591,583,562
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,-33,-33,-33,-22,-55
7. Các khoản phải thu ngắn hạn,590,613,650,534,801
7.1. Phải thu bán các tài sản tài chính,268,235,232,232,508
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",322,378,419,303,293
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",,,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",322,378,419,303,293
Trả trước cho người bán,32,66,335,549,928
9. Phải thu các dịch vụ CTCK cung cấp,21,24,20,19,30
Phải thu hoạt động giao dịch chứng khoán,,,,,
10. Phải thu nội bộ ngắn hạn,,,,,
11. Phải thu về lỗi giao dịch chứng khoán,,,,,
12. Các khoản phải thu khác,192,205,186,192,210
13. Dự phòng suy giảm giá trị các khoản phải thu,-232,-232,-232,-232,-232
Dự phòng các khoản phải thu ngắn hạn khó đòi,,,,,
Phải thu khách hàng,,,,,
Hàng tồn kho,,,,,
