SSI,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"15,772","17,228","19,350","19,220","20,996"
I. Tài sản tài chính ngắn hạn,"15,622","17,092","19,277","19,198","20,970"
1. Tiền và các khoản tương đương tiền,559,346,739,845,223
1.1. Tiền,261,232,238,215,223
1.2. Các khoản tương đương tiền,298,114,501,629,
Các khoản đầu tư tài chính ngắn hạn,0,,0,,
+Đầu tư ngắn hạn,0,,0,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,0,,0,,
Dự phòng giảm giá đầu tư ngắn hạn,0,,0,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),"1,882","1,431","1,177","1,639","1,764"
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),"6,709","7,882","8,523","9,316","11,836"
4. Các khoản cho vay,"4,729","5,764","7,406","5,885","5,429"
5. Các tài sản tài chính sẵn sàn để bán (AFS),"1,715","1,535","1,349","1,487","1,659"
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,-21,-23,-27,-29,-27
7. Các khoản phải thu ngắn hạn,7,28,14,6,3
7.1. Phải thu bán các tài sản tài chính,3,27,3,3,3
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",4,1,12,3,
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",0,,0,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",0,,0,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",4,1,12,3,
Trả trước cho người bán,24,18,56,26,28
9. Phải thu các dịch vụ CTCK cung cấp,29,55,33,33,67
Phải thu hoạt động giao dịch chứng khoán,0,,0,,
10. Phải thu nội bộ ngắn hạn,0,,0,,
11. Phải thu về lỗi giao dịch chứng khoán,0,,0,,
12. Các khoản phải thu khác,6,71,22,5,4
13. Dự phòng suy giảm giá trị các khoản phải thu,-16,-15,-15,-15,-15
Dự phòng các khoản phải thu ngắn hạn khó đòi,0,,0,,
Phải thu khách hàng,0,,0,,
Hàng tồn kho,0,,0,,
Hàng tồn kho (chi tiết),0,,0,,
Dự phòng giảm giá hàng tồn kho,0,,0,,
II. Tài sản ngắn hạn khác,150,136,73,22,26
1. Tạm ứng,14,9,13,3,5
"2. Vật tư văn phòng, công cụ, dụng cụ",0,0,0,1,4
3. Chi phí trả trước ngắn hạn,8,11,13,14,14
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",1,1,1,1,1
8. Thuế GTGT còn được khấu trừ,0,,0,,
