SSI,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"4,467","6,407","8,486","7,643","6,412"
I. Tài sản tài chính ngắn hạn,,,,,
1. Tiền và các khoản tương đương tiền,"1,839","2,482","3,527","2,337","1,953"
1.1. Tiền,"1,438","1,722","1,857","1,952","1,578"
1.2. Các khoản tương đương tiền,401,761,"1,670",385,375
Các khoản đầu tư tài chính ngắn hạn,"1,561","2,052","3,236","2,825","2,189"
+Đầu tư ngắn hạn,"1,694","2,172","3,357","2,902","2,263"
+Đầu tư ngắn hạn của người ủy thác Đầu tư,,,,,
Dự phòng giảm giá đầu tư ngắn hạn,-133,-119,-121,-78,-74
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),,,,,
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,,,
4. Các khoản cho vay,,,,,
5. Các tài sản tài chính sẵn sàn để bán (AFS),,,,,
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,,,,,
7. Các khoản phải thu ngắn hạn,"1,064","1,851","1,701","2,463","2,251"
7.1. Phải thu bán các tài sản tài chính,,,,,
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",,,,,
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",,,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",,,,,
Trả trước cho người bán,8,8,5,14,4
9. Phải thu các dịch vụ CTCK cung cấp,,,,,
Phải thu hoạt động giao dịch chứng khoán,1,24,219,0,2
10. Phải thu nội bộ ngắn hạn,,,,,
11. Phải thu về lỗi giao dịch chứng khoán,,,,,
12. Các khoản phải thu khác,141,150,53,50,140
13. Dự phòng suy giảm giá trị các khoản phải thu,,,,,
Dự phòng các khoản phải thu ngắn hạn khó đòi,-1,-1,-1,-1,-3
Phải thu khách hàng,914,"1,671","1,425","2,400","2,108"
Hàng tồn kho,,,,,
Hàng tồn kho (chi tiết),,,,,
