SSI,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"7,329","8,238","9,200","10,945","11,075"
I. Tài sản tài chính ngắn hạn,,,,,"10,832"
1. Tiền và các khoản tương đương tiền,"2,543","2,434","1,960","1,990",557
1.1. Tiền,"2,158","2,109","1,876","1,755",462
1.2. Các khoản tương đương tiền,386,325,84,235,95
Các khoản đầu tư tài chính ngắn hạn,"2,397","3,159","4,425","5,019",0
+Đầu tư ngắn hạn,"2,471","3,243","4,508","5,062",0
+Đầu tư ngắn hạn của người ủy thác Đầu tư,,,0,,0
Dự phòng giảm giá đầu tư ngắn hạn,-73,-84,-83,-43,0
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),,,,,"1,254"
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,,,"4,367"
4. Các khoản cho vay,,,,,"3,772"
5. Các tài sản tài chính sẵn sàn để bán (AFS),,,,,853
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,,,,,-7
7. Các khoản phải thu ngắn hạn,"2,366","2,515","2,737","3,693",3
7.1. Phải thu bán các tài sản tài chính,,,,,3
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",,,,,0
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,,,,0
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",,,,,0
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",,,,,0
Trả trước cho người bán,8,6,5,11,0
9. Phải thu các dịch vụ CTCK cung cấp,,,,,20
Phải thu hoạt động giao dịch chứng khoán,0,97,117,0,0
10. Phải thu nội bộ ngắn hạn,,,0,,0
