SSI,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"11,817","12,433","11,885","12,629","14,357"
I. Tài sản tài chính ngắn hạn,"11,570","12,186","11,786","12,459","14,196"
1. Tiền và các khoản tương đương tiền,620,447,309,312,821
1.1. Tiền,444,364,201,203,490
1.2. Các khoản tương đương tiền,176,83,107,109,331
Các khoản đầu tư tài chính ngắn hạn,,,,,0
+Đầu tư ngắn hạn,,,,,0
+Đầu tư ngắn hạn của người ủy thác Đầu tư,,,,,0
Dự phòng giảm giá đầu tư ngắn hạn,,,,,0
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),"1,067","1,337","1,426","1,382","1,576"
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),"4,705","5,678","5,244","4,944","5,644"
4. Các khoản cho vay,"4,384","3,983","3,779","3,956","4,196"
5. Các tài sản tài chính sẵn sàn để bán (AFS),618,704,960,"1,835","1,927"
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,-31,-31,-28,-21,-17
7. Các khoản phải thu ngắn hạn,188,18,54,18,6
7.1. Phải thu bán các tài sản tài chính,168,12,53,18,6
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",20,6,0,0,0
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",0,0,0,0,0
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",0,,0,,0
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",20,5,,,0
Trả trước cho người bán,,,,18,17
9. Phải thu các dịch vụ CTCK cung cấp,9,13,36,26,34
Phải thu hoạt động giao dịch chứng khoán,,,,,0
10. Phải thu nội bộ ngắn hạn,,,,,0
11. Phải thu về lỗi giao dịch chứng khoán,,,,,0
12. Các khoản phải thu khác,14,43,24,3,9
13. Dự phòng suy giảm giá trị các khoản phải thu,-5,-5,-16,-16,-16
Dự phòng các khoản phải thu ngắn hạn khó đòi,,,,,0
Phải thu khách hàng,,,,,0
Hàng tồn kho,,,,,0
Hàng tồn kho (chi tiết),,,,,0
Dự phòng giảm giá hàng tồn kho,,,,,0
II. Tài sản ngắn hạn khác,247,247,99,171,162
1. Tạm ứng,9,11,9,10,12
"2. Vật tư văn phòng, công cụ, dụng cụ",,,,,0
3. Chi phí trả trước ngắn hạn,8,6,8,9,9
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",1,1,1,1,1
8. Thuế GTGT còn được khấu trừ,,,,,0
Thuế và các khoản khác phải thu của nhà nước,,,,,0
Giao dịch mua bán lại trái phiếu Chính phủ (TS),,,,,0
5. Tài sản ngắn hạn khác,230,230,81,150,139
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,,,,,0
B. TÀI SẢN DÀI HẠN,"1,690","1,482","1,343","2,335","2,033"
I. Tài sản tài chính dài hạn,"1,189",983,750,"1,742","1,426"
1. Các khoản phải thu dài hạn,,,,,0
1.1. Phải thu dài hạn của khách hàng,,,,,0
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,0
1.3.  Phải thu dài hạn nội bộ,,,,,0
1.4. Phải thu dài hạn khác,,,,,0
1.5. Dự phòng phải thu dài hạn khó đòi,,,,,0
2. Các khoản đầu tư,"1,189",983,750,"1,742","1,426"
