SSI,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"6,204","2,975","3,487","2,770","3,031"
I. Tài sản tài chính ngắn hạn,,,,,
1. Tiền và các khoản tương đương tiền,"1,894","1,438","1,088","1,125","1,622"
1.1. Tiền,"1,894","1,438","1,088","1,125","1,622"
1.2. Các khoản tương đương tiền,0,0,0,0,0
Các khoản đầu tư tài chính ngắn hạn,"2,190",310,"1,121","1,155","1,116"
+Đầu tư ngắn hạn,"2,210",371,751,856,728
+Đầu tư ngắn hạn của người ủy thác Đầu tư,0,0,449,369,420
Dự phòng giảm giá đầu tư ngắn hạn,-20,-61,-79,-70,-32
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),,,,,
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,,,
4. Các khoản cho vay,,,,,
5. Các tài sản tài chính sẵn sàn để bán (AFS),,,,,
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,,,,,
7. Các khoản phải thu ngắn hạn,"2,106","1,204","1,263",481,235
7.1. Phải thu bán các tài sản tài chính,,,,,
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",,,,,
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",,,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",,,,,
Trả trước cho người bán,286,801,0,0,22
9. Phải thu các dịch vụ CTCK cung cấp,,,,,
Phải thu hoạt động giao dịch chứng khoán,56,192,"1,263",481,68
10. Phải thu nội bộ ngắn hạn,0,0,0,0,0
11. Phải thu về lỗi giao dịch chứng khoán,,,,,
12. Các khoản phải thu khác,"1,688",53,0,0,13
13. Dự phòng suy giảm giá trị các khoản phải thu,,,,,
Dự phòng các khoản phải thu ngắn hạn khó đòi,0,0,0,0,0
Phải thu khách hàng,75,159,0,0,132
Hàng tồn kho,0,0,0,0,0
Hàng tồn kho (chi tiết),0,0,0,0,0
Dự phòng giảm giá hàng tồn kho,0,0,0,0,0
II. Tài sản ngắn hạn khác,15,23,15,9,58
1. Tạm ứng,,,,,
"2. Vật tư văn phòng, công cụ, dụng cụ",,,,,
3. Chi phí trả trước ngắn hạn,4,2,0,0,8
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",,,,,
8. Thuế GTGT còn được khấu trừ,0,0,0,0,0
Thuế và các khoản khác phải thu của nhà nước,0,0,0,0,0
Giao dịch mua bán lại trái phiếu Chính phủ (TS),0,0,0,0,0
