SSI,Q1/2007,Q2/2007,Q3/2007,Q4/2007,Q1/2008
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"4,908","4,217","6,204","2,975","3,487"
I. Tài sản tài chính ngắn hạn,,,,,
1. Tiền và các khoản tương đương tiền,"2,160","1,695","1,894","1,438","1,088"
1.1. Tiền,"2,160","1,695","1,894","1,438","1,088"
1.2. Các khoản tương đương tiền,0,0,0,0,0
Các khoản đầu tư tài chính ngắn hạn,"2,419","1,879","2,190",310,"1,121"
+Đầu tư ngắn hạn,"2,419","1,818","2,210",371,751
+Đầu tư ngắn hạn của người ủy thác Đầu tư,0,61,0,0,449
Dự phòng giảm giá đầu tư ngắn hạn,0,0,-20,-61,-79
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),,,,,
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,,,
4. Các khoản cho vay,,,,,
5. Các tài sản tài chính sẵn sàn để bán (AFS),,,,,
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,,,,,
7. Các khoản phải thu ngắn hạn,302,616,"2,106","1,204","1,263"
7.1. Phải thu bán các tài sản tài chính,,,,,
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",,,,,
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",,,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",,,,,
Trả trước cho người bán,0,370,286,801,0
9. Phải thu các dịch vụ CTCK cung cấp,,,,,
Phải thu hoạt động giao dịch chứng khoán,302,171,56,192,"1,263"
10. Phải thu nội bộ ngắn hạn,0,0,0,0,0
11. Phải thu về lỗi giao dịch chứng khoán,,,,,
