SSI,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"22,270","21,741","25,347","23,414","22,291"
I. Tài sản tài chính ngắn hạn,"22,238","21,697","25,294","23,375","22,256"
1. Tiền và các khoản tương đương tiền,613,194,278,344,"1,041"
1.1. Tiền,313,189,233,301,261
1.2. Các khoản tương đương tiền,300,5,45,43,780
Các khoản đầu tư tài chính ngắn hạn,0,,,,
+Đầu tư ngắn hạn,0,,,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,0,,,,
Dự phòng giảm giá đầu tư ngắn hạn,0,,,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),"2,040","2,141","2,421","2,885","4,315"
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),"12,326","12,095","14,893","13,643","10,722"
4. Các khoản cho vay,"5,967","5,996","6,287","5,366","5,359"
5. Các tài sản tài chính sẵn sàn để bán (AFS),"1,265","1,241","1,333","1,082",760
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,-30,-30,-30,-30,-41
7. Các khoản phải thu ngắn hạn,302,303,343,313,351
7.1. Phải thu bán các tài sản tài chính,300,303,331,313,330
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",2,0,12,,20
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",0,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",0,,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",2,0,12,,20
Trả trước cho người bán,31,36,43,49,10
9. Phải thu các dịch vụ CTCK cung cấp,31,27,30,27,43
Phải thu hoạt động giao dịch chứng khoán,0,,,,
10. Phải thu nội bộ ngắn hạn,0,,,,
11. Phải thu về lỗi giao dịch chứng khoán,0,,,,
12. Các khoản phải thu khác,5,6,8,8,4
13. Dự phòng suy giảm giá trị các khoản phải thu,-312,-312,-312,-312,-308
Dự phòng các khoản phải thu ngắn hạn khó đòi,0,,,,
Phải thu khách hàng,0,,,,
