SSI,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"21,677","20,041","21,050","29,040","32,862"
I. Tài sản tài chính ngắn hạn,"21,636","20,002","21,003","28,889","32,808"
1. Tiền và các khoản tương đương tiền,282,202,212,363,279
1.1. Tiền,251,191,212,232,225
1.2. Các khoản tương đương tiền,31,11,,131,54
Các khoản đầu tư tài chính ngắn hạn,,,,,
+Đầu tư ngắn hạn,,,,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,,,,,
Dự phòng giảm giá đầu tư ngắn hạn,,,,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),"6,478","7,414","10,444","13,252","13,069"
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),"10,512","7,813","5,354","5,592","7,447"
4. Các khoản cho vay,"4,009","3,979","4,711","9,226","11,123"
5. Các tài sản tài chính sẵn sàn để bán (AFS),302,314,197,186,183
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,-41,-41,-48,-48,-48
7. Các khoản phải thu ngắn hạn,345,380,362,386,378
7.1. Phải thu bán các tài sản tài chính,299,336,316,304,307
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",46,44,46,82,70
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",,,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",46,44,46,82,70
Trả trước cho người bán,21,222,48,199,636
9. Phải thu các dịch vụ CTCK cung cấp,28,22,24,29,27
Phải thu hoạt động giao dịch chứng khoán,,,,,
10. Phải thu nội bộ ngắn hạn,,,,,
