SSI,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"2,832","2,453","3,594","4,518","4,738"
I. Tài sản tài chính ngắn hạn,,,,,
1. Tiền và các khoản tương đương tiền,"1,611","1,178","2,381","3,245","2,650"
1.1. Tiền,"1,611",767,"1,932","2,134","1,885"
1.2. Các khoản tương đương tiền,0,411,449,"1,111",765
Các khoản đầu tư tài chính ngắn hạn,860,"1,043","1,007",904,"1,372"
+Đầu tư ngắn hạn,886,"1,089","1,046",924,"1,453"
+Đầu tư ngắn hạn của người ủy thác Đầu tư,0,0,0,0,0
Dự phòng giảm giá đầu tư ngắn hạn,-26,-46,-39,-20,-81
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),,,,,
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,,,
4. Các khoản cho vay,,,,,
5. Các tài sản tài chính sẵn sàn để bán (AFS),,,,,
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,,,,,
7. Các khoản phải thu ngắn hạn,355,226,202,361,710
7.1. Phải thu bán các tài sản tài chính,,,,,
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",,,,,
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",,,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",,,,,
Trả trước cho người bán,0,3,4,4,6
9. Phải thu các dịch vụ CTCK cung cấp,,,,,
Phải thu hoạt động giao dịch chứng khoán,0,89,52,1,54
10. Phải thu nội bộ ngắn hạn,0,0,0,0,0
11. Phải thu về lỗi giao dịch chứng khoán,,,,,
12. Các khoản phải thu khác,0,10,12,122,124
13. Dự phòng suy giảm giá trị các khoản phải thu,,,,,
Dự phòng các khoản phải thu ngắn hạn khó đòi,0,0,0,0,0
Phải thu khách hàng,355,123,134,234,525
Hàng tồn kho,0,0,0,0,0
Hàng tồn kho (chi tiết),0,0,0,0,0
