SSI,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"4,904","4,837","5,152","5,731","5,097"
I. Tài sản tài chính ngắn hạn,,,,,
1. Tiền và các khoản tương đương tiền,"2,482","1,947","2,549","2,911","2,542"
1.1. Tiền,873,807,963,"1,096","1,052"
1.2. Các khoản tương đương tiền,"1,609","1,140","1,586","1,815","1,490"
Các khoản đầu tư tài chính ngắn hạn,"1,784","2,098","1,721","2,194","1,663"
+Đầu tư ngắn hạn,"2,011","2,292","1,889","2,365","1,821"
+Đầu tư ngắn hạn của người ủy thác Đầu tư,0,,,,
Dự phòng giảm giá đầu tư ngắn hạn,-227,-194,-168,-171,-158
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),,,,,
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,,,
4. Các khoản cho vay,,,,,
5. Các tài sản tài chính sẵn sàn để bán (AFS),,,,,
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,,,,,
7. Các khoản phải thu ngắn hạn,630,785,871,615,882
7.1. Phải thu bán các tài sản tài chính,,,,,
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",,,,,
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",,,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",,,,,
Trả trước cho người bán,75,4,7,5,7
9. Phải thu các dịch vụ CTCK cung cấp,,,,,
Phải thu hoạt động giao dịch chứng khoán,11,7,0,1,27
10. Phải thu nội bộ ngắn hạn,0,,,,
11. Phải thu về lỗi giao dịch chứng khoán,,,,,
12. Các khoản phải thu khác,289,339,498,281,484
13. Dự phòng suy giảm giá trị các khoản phải thu,,,,,
Dự phòng các khoản phải thu ngắn hạn khó đòi,-24,-66,-59,-57,-57
Phải thu khách hàng,279,500,424,385,421
Hàng tồn kho,0,,,,
Hàng tồn kho (chi tiết),0,,,,
Dự phòng giảm giá hàng tồn kho,0,,,,
II. Tài sản ngắn hạn khác,8,8,11,10,10
1. Tạm ứng,,,,,
"2. Vật tư văn phòng, công cụ, dụng cụ",,,,,
3. Chi phí trả trước ngắn hạn,5,5,8,7,7
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",,,,,
8. Thuế GTGT còn được khấu trừ,0,0,0,0,0
Thuế và các khoản khác phải thu của nhà nước,0,0,0,,
Giao dịch mua bán lại trái phiếu Chính phủ (TS),0,,,,
