MWG,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
1. Chi phí trả trước dài hạn,94,107,124,97,137
2. Tài sản thuế thu nhập hoãn lại,19,22,36,88,94
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,,,,,
5. Lợi thế thương mại,8,5,3,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
TỔNG CỘNG TÀI SẢN,"7,995","10,176","14,806","14,107","14,651"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"4,896","6,691","10,965","9,709","9,972"
I. Nợ ngắn hạn,"4,896","6,691","10,965","9,709","9,972"
1. Phải trả người bán ngắn hạn,"2,009","2,670","4,683","2,990","4,171"
2. Người mua trả tiền trước ngắn hạn,22,22,29,17,20
3. Thuế và các khoản phải nộp Nhà nước,136,118,106,174,207
4. Phải trả người lao động,66,75,91,86,97
5. Chi phí phải trả ngắn hạn,529,726,903,834,"1,141"
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,,
9. Phải trả ngắn hạn khác,309,250,322,257,314
10. Vay và nợ thuê tài chính ngắn hạn,"1,791","2,794","4,789","5,308","3,978"
11. Dự phòng phải trả ngắn hạn,28,30,37,37,39
"12. Quỹ khen thưởng, phúc lợi",5,5,5,5,
13. Quỹ bình ổn giá,5,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
II. Nợ dài hạn,,,,,
1. Phải trả người bán dài hạn,,,,,
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,
7. Phải trả dài hạn khác,,,,,
8. Vay và nợ thuê tài chính dài hạn,,,,,
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,,,,,
12. Dự phòng phải trả dài hạn,,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"3,098","3,486","3,841","4,398","4,679"
I. Vốn chủ sở hữu,"3,098","3,486","3,841","4,398","4,679"
1. Vốn góp của chủ sở hữu,"1,469","1,469","1,540","1,540","3,078"
- Cổ phiếu phổ thông có quyền biểu quyết,"1,469","1,469","1,540","1,540","3,078"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,37,37,37,37,37
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,1,1,1,1,1
5. Cổ phiếu quỹ (*),-3,-3,0,0,0
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,0,,,,
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,
11. Lợi nhuận sau thuế chưa phân phối,"1,592","1,979","2,262","2,820","1,562"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,758,758,684,"2,262",493
- LNST chưa phân phối kỳ này,834,"1,222","1,577",558,"1,069"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,2,2,2,2,2
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"7,995","10,176","14,806","14,107","14,651"
