MWG,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Soát xét
Công ty kiểm toán,EY,,EY,,EY
Ý kiến kiểm toán,Chấp nhận toàn phần,,Chấp nhận toàn phần,,Chấp nhận toàn phần
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"5,525","5,394","6,681","7,789","9,687"
2. Các khoản giảm trừ doanh thu,28,31,34,43,60
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"5,496","5,363","6,647","7,746","9,627"
4. Giá vốn hàng bán,"4,695","4,550","5,623","6,462","8,038"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,801,813,"1,024","1,285","1,589"
6.Doanh thu hoạt động tài chính,17,15,24,25,28
7. Chi phí tài chính,12,10,7,12,30
Trong đó :Chi phí lãi vay,12,9,6,12,10
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,457,491,615,789,907
10. Chi phí quản lý doanh nghiệp,51,46,66,87,162
11. Lợi nhuận thuần từ hoạt động kinh doanh,298,281,361,422,519
12. Thu nhập khác,3,6,11,6,6
13. Chi phí khác,0,0,1,0,0
14. Lợi nhuận khác,2,5,10,6,6
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,300,287,371,428,525
16. Chi phí thuế TNDN hiện hành,65,64,89,95,109
17. Chi phí thuế TNDN hoãn lại,2,1,-6,1,-2
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,233,223,288,332,418
Lợi ích của cổ đông thiểu số,2,1,1,0,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,232,221,287,332,418
19. Lãi cơ bản trên cổ phiếu (*),"2,069","1,584","2,056","2,010","2,849"
20. Lãi suy giảm trên cổ phiếu (*),"1,655",,"2,056","2,010","2,849"
