MWG,Q3/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"2,438","3,506","3,505","3,966","4,860"
2. Các khoản giảm trừ doanh thu,10,18,18,20,23
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"2,428","3,488","3,487","3,945","4,837"
4. Giá vốn hàng bán,"2,059","2,943","2,960","3,311","4,146"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,370,545,527,634,691
6.Doanh thu hoạt động tài chính,6,10,14,21,26
7. Chi phí tài chính,3,5,6,5,5
Trong đó :Chi phí lãi vay,3,5,6,5,5
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,231,285,291,356,417
10. Chi phí quản lý doanh nghiệp,31,50,61,72,58
11. Lợi nhuận thuần từ hoạt động kinh doanh,111,215,183,222,237
12. Thu nhập khác,2,6,3,5,4
13. Chi phí khác,3,5,1,0,0
14. Lợi nhuận khác,0,0,2,5,4
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,0,,,
15. Tổng lợi nhuận kế toán trước thuế,111,215,185,227,241
16. Chi phí thuế TNDN hiện hành,30,46,50,50,57
17. Chi phí thuế TNDN hoãn lại,-1,0,-8,1,-2
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,82,169,143,176,186
Lợi ích của cổ đông thiểu số,1,2,1,1,1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,81,166,142,175,184
19. Lãi cơ bản trên cổ phiếu (*),,"2,662","2,277","2,794",
20. Lãi suy giảm trên cổ phiếu (*),,,,,
