LPB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,183","2,984","2,524","2,015","2,287"
II. Tiền gửi tại NHNN,"5,111","10,324","4,043","7,087","7,933"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","27,328","31,968","31,949","30,454","35,010"
"1. Tiền, vàng gửi tại các TCTD khác","26,875","31,368","31,749","30,354","34,910"
2. Cho vay các TCTD khác,458,658,258,158,158
3. Dự phòng rủi ro cho vay các TCTD khác,-5,-58,-58,-58,-58
IV. Chứng khoán kinh doanh,570,566,563,,437
1. Chứng khoán kinh doanh,570,566,563,,437
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,360,435,70
VI. Cho vay khách hàng,"223,380","230,637","238,205","248,954","258,651"
1. Cho vay và cho thuê tài chính khách hàng,"227,944","235,507","242,116","253,392","263,621"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-4,564","-4,870","-3,911","-4,438","-4,971"
VII. Hoạt động mua nợ,810,257,53,26,23
1. Mua nợ,818,260,54,27,23
2. Dự phòng rủi ro hoạt động mua nợ,-8,-3,-1,0,0
VII. Chứng khoán đầu tư,"43,896","42,007","48,420","44,457","42,523"
1. Chứng khoán đầu tư sẵn sàng để bán,"43,896","42,007","48,420","44,457","42,523"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,,,,
3. Dự phòng giảm giá chứng khoán đầu tư,,,,,
"VIII. Góp vốn, đầu tư dài hạn",316,316,316,316,316
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,316,316,316,316,316
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,"1,580","1,693","1,728","1,789","1,904"
1. Tài sản cố định hữu hình,"1,090","1,203","1,208","1,214","1,181"
a. Nguyên giá TSCĐ,"2,680","2,830","2,894","2,935","2,948"
b. Hao mòn TSCĐ,"-1,590","-1,627","-1,686","-1,721","-1,767"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,491,490,520,575,723
a. Nguyên giá TSCĐ,670,679,717,780,935
b. Hao mòn TSCĐ,-180,-189,-197,-206,-212
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","8,305","6,993","9,035","14,709","16,298"
1. Các khoản phải thu,"2,259","2,186","4,531","10,131","10,054"
"2. Các khoản lãi, phí phải thu","5,424","4,149","3,884","3,996","5,670"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,627,665,626,589,581
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-5,-7,-7,-7,-7
TỔNG CỘNG TÀI SẢN,"313,480","327,746","337,197","350,243","365,450"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,137,"3,077",766,113,107
II. Tiền gửi và vay các TCTD khác,"50,598","39,660","26,405","44,060","49,917"
1. Tiền gửi của các TCTD khác,"39,953","37,694","24,575","42,232","48,024"
2. Vay các TCTD khác,"10,645","1,966","1,830","1,828","1,893"
III. Tiền gửi của khách hàng,"193,533","215,888","227,283","224,126","228,401"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,288,42,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,
VI. Phát hành giấy tờ có giá,"36,738","35,048","45,301","42,960","46,135"
VII. Các khoản nợ khác,"8,799","9,976","12,143","13,486","14,401"
"1. Các khoản lãi, phí phải trả","5,621","6,525","7,593","8,949","9,721"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"3,178","3,451","4,550","4,536","4,679"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"290,093","303,691","311,898","324,746","338,961"
VIII. Vốn và các quỹ,"23,387","24,055","25,298","25,497","26,490"
1. Vốn của TCTD,"15,036","17,291","17,291","17,291","20,576"
a. Vốn điều lệ,"15,036","17,291","17,291","17,291","20,576"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,0,0,0,0,0
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"2,184","2,860","2,860","2,860","2,860"
3. Chênh lệch tỷ giá hối đoái,,,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"6,168","3,904","5,147","5,345","3,053"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"313,480","327,746","337,197","350,243","365,450"
