LPB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,664","2,199","2,284","2,987","1,214"
II. Tiền gửi tại NHNN,"6,256","5,870","4,197","4,570","6,622"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","5,108","6,380","13,222","10,787","11,664"
"1. Tiền, vàng gửi tại các TCTD khác","4,208","5,230","10,512","8,133","9,263"
2. Cho vay các TCTD khác,905,"1,155","2,710","2,654","2,401"
3. Dự phòng rủi ro cho vay các TCTD khác,-5,-5,,,
IV. Chứng khoán kinh doanh,,278,,,
1. Chứng khoán kinh doanh,,278,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,66,89,95,110,88
VI. Cho vay khách hàng,"117,710","122,187","127,724","133,138","138,802"
1. Cho vay và cho thuê tài chính khách hàng,"119,193","123,758","129,210","134,742","140,523"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,483","-1,571","-1,485","-1,604","-1,721"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"35,666","36,099","33,785","33,112","34,796"
1. Chứng khoán đầu tư sẵn sàng để bán,"35,180","35,650","33,506","32,958","34,782"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,175","1,175","1,156",616,359
3. Dự phòng giảm giá chứng khoán đầu tư,-690,-727,-877,-462,-346
"VIII. Góp vốn, đầu tư dài hạn",325,325,325,325,325
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,325,325,325,325,325
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,"1,462","1,443","1,436","1,502","1,503"
1. Tài sản cố định hữu hình,986,970,970,"1,033","1,035"
a. Nguyên giá TSCĐ,"1,914","1,945","1,973","2,083","2,129"
b. Hao mòn TSCĐ,-928,-975,"-1,003","-1,049","-1,094"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,477,472,467,469,469
a. Nguyên giá TSCĐ,577,579,579,588,594
b. Hao mòn TSCĐ,-101,-107,-113,-119,-125
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","6,838","7,032","6,886","7,005","7,045"
1. Các khoản phải thu,"2,302","2,761","2,170","2,192","2,114"
"2. Các khoản lãi, phí phải thu","3,806","3,599","4,081","4,212","4,287"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,730,672,634,600,644
- Trong đó: Lợi thế thương mại,173,156,139,121,104
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,,,,
TỔNG CỘNG TÀI SẢN,"175,095","181,901","189,955","193,536","202,058"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"7,345","2,602","3,827","2,296",287
II. Tiền gửi và vay các TCTD khác,"16,441","21,092","19,556","15,964","17,533"
1. Tiền gửi của các TCTD khác,"12,048","15,451","13,739","11,774","12,947"
2. Vay các TCTD khác,"4,393","5,641","5,818","4,190","4,586"
III. Tiền gửi của khách hàng,"124,948","125,843","130,053","132,997","136,847"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,162","1,160","1,164","1,160","1,159"
VI. Phát hành giấy tờ có giá,"10,120","14,887","18,766","23,743","28,156"
VII. Các khoản nợ khác,"4,878","4,699","4,712","5,087","5,496"
"1. Các khoản lãi, phí phải trả","4,067","3,737","3,770","3,848","4,576"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,811,962,942,"1,238",920
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"164,894","170,283","178,077","181,246","189,478"
VIII. Vốn và các quỹ,"10,201","11,618","11,877","12,291","12,580"
1. Vốn của TCTD,"7,563","8,945","8,945","8,945","8,945"
a. Vốn điều lệ,"7,500","8,881","8,881","8,881","8,881"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,63,63,63,63,63
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"1,205","1,205","1,210","1,210","1,473"
3. Chênh lệch tỷ giá hối đoái,,,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,432","1,468","1,723","2,136","2,162"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"175,095","181,901","189,955","193,536","202,058"
