LPB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,691",893,"1,561","1,300","1,309"
II. Tiền gửi tại NHNN,"9,701","10,940","6,002","6,753","5,591"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1,247","12,352","9,930","11,118","2,971"
"1. Tiền, vàng gửi tại các TCTD khác","1,247","10,922","7,890","8,179","1,771"
2. Cho vay các TCTD khác,5,"1,435","2,045","2,944","1,205"
3. Dự phòng rủi ro cho vay các TCTD khác,-5,-5,-5,-5,-5
IV. Chứng khoán kinh doanh,0,,,,
1. Chứng khoán kinh doanh,0,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,0,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,,,,21
VI. Cho vay khách hàng,"93,674","99,392","106,930","113,255","113,901"
1. Cho vay và cho thuê tài chính khách hàng,"94,867","100,621","108,137","114,525","115,195"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,192","-1,229","-1,207","-1,271","-1,294"
VII. Hoạt động mua nợ,0,,,,
1. Mua nợ,0,,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,,,,
VII. Chứng khoán đầu tư,"33,809","31,864","36,701","34,587","34,737"
1. Chứng khoán đầu tư sẵn sàng để bán,"32,786","30,934","35,813","33,852","34,005"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,826","1,716","1,716","1,609","1,609"
3. Dự phòng giảm giá chứng khoán đầu tư,-802,-786,-828,-875,-878
"VIII. Góp vốn, đầu tư dài hạn",325,325,325,325,325
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,,,,
3. Đầu tư dài hạn khác,325,325,325,325,325
4. Dự phòng giảm giá đầu tư dài hạn,0,,,,
IX. Tài sản cố định,"1,343","1,454","1,427","1,493","1,470"
1. Tài sản cố định hữu hình,893,998,975,"1,014",991
a. Nguyên giá TSCĐ,"1,605","1,744","1,770","1,848","1,875"
b. Hao mòn TSCĐ,-711,-746,-795,-834,-884
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,449,456,452,479,479
a. Nguyên giá TSCĐ,523,534,534,568,574
b. Hao mòn TSCĐ,-73,-78,-82,-89,-95
X. Bất động sản đầu tư,0,,,,
a. Nguyên giá BĐSĐT,0,,,,
b. Hao mòn BĐSĐT,0,,,,
"XI. Tài sản ""Có"" khác","6,258","6,214","6,922","7,051","7,004"
1. Các khoản phải thu,"2,605","2,637","3,166","2,581","2,605"
"2. Các khoản lãi, phí phải thu","3,052","2,935","3,115","3,789","3,701"
3. Tài sản thuế TNDN hoãn lại,0,,,,
4. Tài sản Có khác,601,642,641,681,698
- Trong đó: Lợi thế thương mại,260,242,225,208,190
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,,,,
TỔNG CỘNG TÀI SẢN,"148,049","163,434","169,797","175,881","167,328"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"2,323","1,332","2,325","2,317","2,308"
II. Tiền gửi và vay các TCTD khác,"4,285","13,539","2,714","1,682","11,488"
1. Tiền gửi của các TCTD khác,"2,816","11,486","1,341",270,"8,027"
2. Vay các TCTD khác,"1,469","2,053","1,372","1,412","3,460"
III. Tiền gửi của khách hàng,"122,444","128,275","144,349","146,316","127,542"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,16,49,7,69,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,124","1,121","1,123","1,148","1,168"
VI. Phát hành giấy tờ có giá,"6,192","6,157","6,151","10,396","10,001"
VII. Các khoản nợ khác,"2,526","3,577","3,469","4,166","4,755"
"1. Các khoản lãi, phí phải trả","2,004","2,298","2,584","3,287","3,860"
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,522,"1,279",885,878,894
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,,,,
TỔNG NỢ PHẢI TRẢ,"138,908","154,050","160,139","166,094","157,261"
VIII. Vốn và các quỹ,"9,141","9,383","9,658","9,787","10,067"
1. Vốn của TCTD,"6,523","6,523","7,500","7,500","7,563"
a. Vốn điều lệ,"6,460","6,460","7,500","7,500","7,500"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,63,63,,,63
d. Cổ phiếu quỹ,0,,,,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,,,,
2. Quỹ của TCTD,868,"1,066","1,066","1,066","1,066"
3. Chênh lệch tỷ giá hối đoái,0,,,,
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,750","1,794","1,092","1,221","1,438"
6. Lợi ích cổ đông không kiểm soát,0,,,,
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"148,049","163,434","169,797","175,881","167,328"
