LPB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,383","2,234","2,199","1,770","1,162"
II. Tiền gửi tại NHNN,"14,578","11,257","8,648","7,490","14,370"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","35,528","42,276","56,076","63,645","96,455"
"1. Tiền, vàng gửi tại các TCTD khác","35,059","42,176","55,676","63,545","89,027"
2. Cho vay các TCTD khác,526,157,457,157,"7,485"
3. Dự phòng rủi ro cho vay các TCTD khác,-58,-57,-57,-57,-57
IV. Chứng khoán kinh doanh,580,593,276,481,660
1. Chứng khoán kinh doanh,580,593,276,481,660
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,175,9
VI. Cho vay khách hàng,"271,973","303,891","313,167","314,910","327,276"
1. Cho vay và cho thuê tài chính khách hàng,"275,431","307,687","317,395","319,770","331,606"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-3,458","-3,796","-4,228","-4,860","-4,330"
VII. Hoạt động mua nợ,22,22,22,,
1. Mua nợ,22,22,22,,
2. Dự phòng rủi ro hoạt động mua nợ,0,0,0,,
VII. Chứng khoán đầu tư,"46,844","40,961","51,288","54,270","58,080"
1. Chứng khoán đầu tư sẵn sàng để bán,"46,844","40,961","51,288","54,270","58,080"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,,,,
3. Dự phòng giảm giá chứng khoán đầu tư,,,,,
"VIII. Góp vốn, đầu tư dài hạn",349,349,549,549,549
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,349,349,549,549,549
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,"1,950","1,975","2,391","2,504","2,732"
1. Tài sản cố định hữu hình,"1,171","1,186","1,564","1,537","1,716"
a. Nguyên giá TSCĐ,"2,941","2,976","3,398","3,398","3,470"
b. Hao mòn TSCĐ,"-1,770","-1,789","-1,833","-1,861","-1,754"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,779,789,827,968,"1,016"
a. Nguyên giá TSCĐ,996,"1,010","1,053","1,201","1,258"
b. Hao mòn TSCĐ,-217,-221,-227,-234,-242
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","8,656","6,207","7,969","10,010","7,037"
1. Các khoản phải thu,"3,050","1,531","1,277","1,494","1,536"
"2. Các khoản lãi, phí phải thu","5,038","4,034","6,078","7,831","4,746"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,576,650,621,693,762
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-7,-7,-7,-7,-6
TỔNG CỘNG TÀI SẢN,"382,863","409,764","442,583","455,805","508,330"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,90,"1,089",93,"1,980","1,271"
II. Tiền gửi và vay các TCTD khác,"50,112","55,855","55,667","84,882","115,349"
1. Tiền gửi của các TCTD khác,"47,153","53,824","54,882","82,145","105,407"
2. Vay các TCTD khác,"2,960","2,031",785,"2,737","9,942"
III. Tiền gửi của khách hàng,"237,392","261,994","288,098","271,303","283,172"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,76,634,"1,273",,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,
VI. Phát hành giấy tờ có giá,"47,910","42,498","48,845","47,323","55,459"
VII. Các khoản nợ khác,"13,166","11,277","10,269","9,649","9,741"
"1. Các khoản lãi, phí phải trả","9,839","7,607","7,084","7,384","7,817"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"3,327","3,669","3,186","2,265","1,924"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"348,746","373,348","404,245","415,136","464,992"
VIII. Vốn và các quỹ,"34,117","36,416","38,338","40,668","43,338"
1. Vốn của TCTD,"25,576","25,576","25,576","25,576","25,576"
a. Vốn điều lệ,"25,576","25,576","25,576","25,576","25,576"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,0,0,0,0,0
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"3,696","3,696","3,696","3,696","5,640"
3. Chênh lệch tỷ giá hối đoái,,,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"4,845","7,144","9,065","11,396","12,122"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"382,863","409,764","442,583","455,805","508,330"
