TCB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,840","2,930","2,957","3,179","2,873"
II. Tiền gửi tại NHNN,"3,433","6,019","2,534","4,127","6,922"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","18,023","12,184","21,599","21,196","21,308"
"1. Tiền, vàng gửi tại các TCTD khác","7,628","4,123","9,059","10,918","8,873"
2. Cho vay các TCTD khác,"10,396","8,062","12,540","10,278","12,436"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"4,256","8,018","8,025","5,175","8,226"
1. Chứng khoán kinh doanh,"4,265","8,029","8,036","5,182","8,233"
2. Dự phòng giảm giá chứng khoán kinh doanh,-9,-11,-11,-7,-7
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,37,60
VI. Cho vay khách hàng,"126,063","134,036","141,121","136,175","130,159"
1. Cho vay và cho thuê tài chính khách hàng,"127,491","135,602","142,616","137,747","131,884"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,428","-1,566","-1,495","-1,572","-1,726"
VII. Hoạt động mua nợ,323,303,18,18,17
1. Mua nợ,327,306,19,19,18
2. Dự phòng rủi ro hoạt động mua nợ,-3,-3,-1,-1,-1
VII. Chứng khoán đầu tư,"44,120","44,950","45,675","49,972","48,199"
1. Chứng khoán đầu tư sẵn sàng để bán,"38,950","40,001","38,575","44,038","40,699"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"6,535","6,439","8,560","7,769","7,637"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,365","-1,491","-1,461","-1,836",-136
"VIII. Góp vốn, đầu tư dài hạn",580,578,578,8,7
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,584,583,583,13,12
4. Dự phòng giảm giá đầu tư dài hạn,-4,-5,-5,-5,-5
IX. Tài sản cố định,"1,562","1,513","1,583","1,529","1,473"
1. Tài sản cố định hữu hình,608,572,577,544,511
a. Nguyên giá TSCĐ,"1,482","1,482","1,518","1,519","1,518"
b. Hao mòn TSCĐ,-875,-911,-941,-975,"-1,007"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,955,942,"1,006",985,963
a. Nguyên giá TSCĐ,"1,320","1,333","1,423","1,431","1,421"
b. Hao mòn TSCĐ,-365,-391,-417,-446,-458
X. Bất động sản đầu tư,"1,292","1,283","1,279","1,270","1,260"
a. Nguyên giá BĐSĐT,"1,443","1,443","1,447","1,447","1,447"
b. Hao mòn BĐSĐT,-151,-160,-169,-178,-187
"XI. Tài sản ""Có"" khác","10,189","10,955","9,996","9,837","11,835"
1. Các khoản phải thu,"6,999","7,214","6,858","6,271","7,450"
"2. Các khoản lãi, phí phải thu","4,337","4,758","3,989","4,440","5,231"
3. Tài sản thuế TNDN hoãn lại,3,3,3,28,8
4. Tài sản Có khác,552,580,651,657,554
- Trong đó: Lợi thế thương mại,35,32,30,27,25
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,"-1,701","-1,601","-1,504","-1,557","-1,409"
TỔNG CỘNG TÀI SẢN,"212,682","222,770","235,363","232,522","232,340"
