TCB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,026","4,216","2,852","3,113","3,506"
II. Tiền gửi tại NHNN,"4,709","11,476","15,834","7,860","27,429"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","72,297","82,874","66,839","71,193","69,386"
"1. Tiền, vàng gửi tại các TCTD khác","65,183","69,925","56,675","63,215","63,434"
2. Cho vay các TCTD khác,"7,215","13,050","10,265","8,079","6,053"
3. Dự phòng rủi ro cho vay các TCTD khác,-101,-101,-101,-101,-101
IV. Chứng khoán kinh doanh,"1,435",961,79,"1,720","5,130"
1. Chứng khoán kinh doanh,"1,435",961,79,"1,720","5,130"
2. Dự phòng giảm giá chứng khoán kinh doanh,-1,0,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,244,0,,222,"1,301"
VI. Cho vay khách hàng,"406,148","415,752","460,145","460,753","469,589"
1. Cho vay và cho thuê tài chính khách hàng,"410,546","420,524","465,425","466,546","475,606"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-4,397","-4,771","-5,280","-5,793","-6,017"
VII. Hoạt động mua nợ,118,108,105,95,95
1. Mua nợ,121,110,108,97,97
2. Dự phòng rủi ro hoạt động mua nợ,-3,-2,-2,-2,-2
VII. Chứng khoán đầu tư,"103,226","103,652","99,071","107,848","121,243"
1. Chứng khoán đầu tư sẵn sàng để bán,"103,942","104,032","99,437","108,213","121,592"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,0,,-366,
3. Dự phòng giảm giá chứng khoán đầu tư,-716,-380,-366,,-349
"VIII. Góp vốn, đầu tư dài hạn",13,13,13,"3,046","3,046"
1. Đầu tư vào công ty con,,0,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,0,,,
3. Đầu tư dài hạn khác,14,14,14,"3,047","3,047"
4. Dự phòng giảm giá đầu tư dài hạn,-1,-1,-1,-1,-1
IX. Tài sản cố định,"7,282","8,411","8,275","8,742","8,573"
1. Tài sản cố định hữu hình,"3,527","3,697","3,655","3,726","3,610"
a. Nguyên giá TSCĐ,"4,942","5,156","5,220","5,436","5,455"
b. Hao mòn TSCĐ,"-1,415","-1,460","-1,564","-1,710","-1,845"
2. Tài sản cố định thuê tài chính,,0,,,
a. Nguyên giá TSCĐ,,0,,,
b. Hao mòn TSCĐ,,0,,,
3. Tài sản cố định vô hình,"3,755","4,715","4,620","5,016","4,962"
a. Nguyên giá TSCĐ,"4,845","5,914","5,928","6,517","6,617"
b. Hao mòn TSCĐ,"-1,090","-1,199","-1,308","-1,501","-1,655"
