TCB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,606","4,785","5,034","5,409","4,821"
II. Tiền gửi tại NHNN,"10,555","5,330","9,326","6,564","3,192"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","35,616","45,810","42,787","43,304","47,990"
"1. Tiền, vàng gửi tại các TCTD khác","24,226","33,454","33,026","28,820","38,596"
2. Cho vay các TCTD khác,"11,390","12,356","9,761","14,484","9,394"
3. Dự phòng rủi ro cho vay các TCTD khác,,,0,0,0
IV. Chứng khoán kinh doanh,"7,572","5,449","3,143","6,978","10,042"
1. Chứng khoán kinh doanh,"7,583","5,460","3,151","6,988","10,053"
2. Dự phòng giảm giá chứng khoán kinh doanh,-11,-11,-8,-10,-11
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,0,0,0
VI. Cho vay khách hàng,"157,557","161,272","182,887","202,462","227,885"
1. Cho vay và cho thuê tài chính khách hàng,"159,942","163,835","185,432","205,317","230,802"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,385","-2,563","-2,545","-2,855","-2,917"
VII. Hoạt động mua nợ,,,0,0,0
1. Mua nợ,2,2,2,0,0
2. Dự phòng rủi ro hoạt động mua nợ,-2,-2,-2,0,0
VII. Chứng khoán đầu tư,"86,512","87,619","100,235","82,568","66,055"
1. Chứng khoán đầu tư sẵn sàng để bán,"66,625","72,281","86,320","74,271","66,159"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"20,236","15,806","14,406","8,706",202
3. Dự phòng giảm giá chứng khoán đầu tư,-349,-468,-492,-409,-306
"VIII. Góp vốn, đầu tư dài hạn",12,12,12,12,12
1. Đầu tư vào công ty con,,,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",,,0,0,0
3. Đầu tư dài hạn khác,13,13,13,13,13
4. Dự phòng giảm giá đầu tư dài hạn,-1,-1,-1,-1,-1
IX. Tài sản cố định,"1,719","3,104","3,439","3,504","3,208"
1. Tài sản cố định hữu hình,788,792,"1,108","1,111",793
