SAB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"8,581","7,243","8,135","7,737","9,049"
2. Các khoản giảm trừ doanh thu,61,60,49,67,116
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"8,520","7,184","8,086","7,670","8,933"
4. Giá vốn hàng bán,"6,065","5,083","5,646","5,392","6,433"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,456","2,100","2,440","2,278","2,499"
6.Doanh thu hoạt động tài chính,347,279,266,254,268
7. Chi phí tài chính,16,9,8,12,-4
Trong đó :Chi phí lãi vay,8,4,8,6,5
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",33,-11,28,51,130
9. Chi phí bán hàng,"1,339",842,902,868,"1,429"
10. Chi phí quản lý doanh nghiệp,214,209,176,224,230
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,267","1,308","1,648","1,478","1,243"
12. Thu nhập khác,8,1,7,4,16
13. Chi phí khác,26,6,20,11,20
14. Lợi nhuận khác,-18,-5,-13,-7,-4
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,249","1,303","1,634","1,471","1,239"
16. Chi phí thuế TNDN hiện hành,345,235,300,296,315
17. Chi phí thuế TNDN hoãn lại,-62,44,15,14,-66
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,967,"1,024","1,319","1,161",991
Lợi ích của cổ đông thiểu số,20,26,71,42,25
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,947,997,"1,248","1,119",965
19. Lãi cơ bản trên cổ phiếu (*),719,758,954,853,733
20. Lãi suy giảm trên cổ phiếu (*),,,,,
