SAB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"26,553","24,869","27,432","24,071","25,067"
I. Tiền và các khoản tương đương tiền,"5,040","3,213","6,034","5,428","4,478"
1. Tiền,"1,423","1,474","1,815","1,894","1,338"
2. Các khoản tương đương tiền,"3,617","1,739","4,219","3,534","3,140"
II.  Đầu tư tài chính ngắn hạn,"17,741","18,202","17,324","15,361","16,566"
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"17,741","18,202","17,324","15,361","16,566"
III. Các khoản phải thu ngắn hạn,"1,229","1,044","1,488","1,305","1,818"
1. Phải thu ngắn hạn của khách hàng,467,308,382,298,433
2. Trả trước cho người bán ngắn hạn,33,31,47,57,48
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,"1,025","1,001","1,354","1,245","1,646"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-296,-296,-296,-296,-310
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"2,318","2,193","2,351","1,767","1,979"
1. Hàng tồn kho,"2,393","2,269","2,422","1,837","2,043"
2. Dự phòng giảm giá hàng tồn kho (*),-76,-76,-71,-71,-64
V. Tài sản ngắn hạn khác,226,216,235,210,226
1. Chi phí trả trước ngắn hạn,172,149,191,167,146
2. Thuế GTGT được khấu trừ,39,50,34,34,72
3. Thuế và các khoản khác phải thu của nhà nước,14,16,11,9,8
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"7,503","7,278","6,722","8,163","8,373"
I. Các khoản phải thu dài hạn,35,35,35,35,34
1. Phải thu dài hạn của khách hàng,6,6,6,6,6
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
