SAB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,35,35,35,35,34
7. Dự phòng phải thu dài hạn khó đòi (*),-6,-6,-6,-6,-6
II. Tài sản cố định,"3,970","3,900","3,773","3,671","3,593"
1. Tài sản cố định hữu hình,"2,890","2,775","2,654","2,557","2,484"
- Nguyên giá,"11,488","11,502","11,502","11,519","11,568"
- Giá trị hao mòn lũy kế (*),"-8,599","-8,726","-8,848","-8,963","-9,084"
2. Tài sản cố định thuê tài chính,157,156,154,153,152
- Nguyên giá,174,174,174,174,174
- Giá trị hao mòn lũy kế (*),-17,-18,-19,-20,-22
3. Tài sản cố định vô hình,923,969,964,961,957
- Nguyên giá,"1,115","1,166","1,168","1,171","1,174"
- Giá trị hao mòn lũy kế (*),-192,-198,-204,-210,-216
III. Bất động sản đầu tư,279,276,273,271,268
- Nguyên giá,311,311,311,311,312
- Giá trị hao mòn lũy kế (*),-32,-35,-38,-41,-43
IV. Tài sản dở dang dài hạn,144,112,131,120,122
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,144,112,131,120,122
V. Đầu tư tài chính dài hạn,"2,287","2,243","1,829","3,411","3,673"
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2,230","2,223","1,800","1,767","2,305"
3. Đầu tư góp vốn vào đơn vị khác,434,434,434,411,411
4. Dự phòng đầu tư tài chính dài hạn (*),-416,-414,-409,-392,-379
5. Đầu tư nắm giữ đến ngày đáo hạn,39,4,"1,625","1,336",
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,788,711,681,656,683
1. Chi phí trả trước dài hạn,550,519,499,490,455
2. Tài sản thuế thu nhập hoãn lại,206,161,150,134,199
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",32,31,32,32,29
4. Tài sản dài hạn khác,,,,,
5. Lợi thế thương mại,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
TỔNG CỘNG TÀI SẢN,"34,057","32,147","34,154","32,234","33,439"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"8,571","5,690","9,024","6,012","9,002"
I. Nợ ngắn hạn,"8,225","5,345","8,669","5,662","8,657"
1. Phải trả người bán ngắn hạn,"2,476","1,736","2,247","1,419","2,642"
2. Người mua trả tiền trước ngắn hạn,45,41,69,64,95
3. Thuế và các khoản phải nộp Nhà nước,"1,359","1,130","1,421","1,947","1,321"
4. Phải trả người lao động,235,171,69,103,129
5. Chi phí phải trả ngắn hạn,486,504,727,854,516
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,0,1,0,0,
9. Phải trả ngắn hạn khác,"2,899",982,"3,537",976,"3,510"
10. Vay và nợ thuê tài chính ngắn hạn,530,561,456,126,245
11. Dự phòng phải trả ngắn hạn,0,0,0,0,0
"12. Quỹ khen thưởng, phúc lợi",194,221,143,173,199
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
II. Nợ dài hạn,347,345,355,350,345
1. Phải trả người bán dài hạn,0,0,0,0,0
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,
7. Phải trả dài hạn khác,56,55,55,55,57
8. Vay và nợ thuê tài chính dài hạn,171,170,170,170,169
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,51,49,53,51,49
12. Dự phòng phải trả dài hạn,69,70,77,74,69
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"25,485","26,457","25,130","26,222","24,437"
I. Vốn chủ sở hữu,"25,485","26,457","25,130","26,222","24,437"
1. Vốn góp của chủ sở hữu,"12,826","12,826","12,826","12,826","12,826"
- Cổ phiếu phổ thông có quyền biểu quyết,"12,826","12,826","12,826","12,826","12,826"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,,,,,
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,3,3,3,3,3
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,73,,,,
7. Chênh lệch tỷ giá hối đoái,44,48,71,54,
8. Quỹ đầu tư phát triển,"1,122","1,122","1,122","1,122","1,182"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,"1,274",,,,
11. Lợi nhuận sau thuế chưa phân phối,"10,217","11,184","9,823","10,914","9,218"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"6,244","10,218","7,650","7,650","5,090"
- LNST chưa phân phối kỳ này,"3,973",967,"2,173","3,264","4,128"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"1,273","1,282","1,285","1,155",
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"34,057","32,147","34,154","32,234","33,439"
